Time,ETH total supply,Price
2016-12-08,8.672482721823E7,8.57879162
2016-12-09,8.675657206198E7,8.57343674
2016-12-10,8.678832143698E7,8.30651474
2016-12-11,8.682025393698E7,8.21545887
2016-12-12,8.685143862448E7,8.41560459
2016-12-13,8.688325503073E7,8.44915771
2016-12-14,8.691488909323E7,8.3716526
2016-12-15,8.694676112448E7,7.98988962
2016-12-16,8.697836503073E7,7.83320808
2016-12-17,8.701013409323E7,7.78552341
2016-12-18,8.704183143698E7,7.89772511
2016-12-19,8.707353237448E7,7.74505043
2016-12-20,8.710552190573E7,7.63710451
2016-12-21,8.713696003073E7,7.67782974
2016-12-22,8.716831393698E7,7.61255884
2016-12-23,8.719920128073E7,7.40170383
2016-12-24,8.723033846823E7,7.33150196
2016-12-25,8.726229909323E7,7.31269884
2016-12-26,8.729428518698E7,7.28469181
2016-12-27,8.732556424948E7,7.21640587
2016-12-28,8.735693315573E7,7.3052659
2016-12-29,8.738866378073E7,8.08511066
2016-12-30,8.742041706198E7,8.1172781
2016-12-31,8.745193940573E7,7.97572088
2017-01-01,8.748323299948E7,8.44290161
2017-01-02,8.751465596823E7,8.29045868
2017-01-03,8.754616081198E7,8.42391968
2017-01-04,8.757865487448E7,10.40668869
2017-01-05,8.761039721823E7,10.17251587
2017-01-06,8.764176065573E7,10.12520123
2017-01-07,8.767356503073E7,10.04981232
2017-01-08,8.770521565573E7,10.08623219
2017-01-09,8.773682581198E7,10.32278633
2017-01-10,8.776841596823E7,10.40650654
2017-01-11,8.779987940573E7,9.87361526
2017-01-12,8.783168674948E7,9.5852623
2017-01-13,8.786326190573E7,9.74505711
2017-01-14,8.789477190573E7,9.6504097
2017-01-15,8.792625315573E7,9.8756094
2017-01-16,8.795794753073E7,9.84827423
2017-01-17,8.798941081198E7,10.10851097
2017-01-18,8.802076159323E7,10.13010597
2017-01-19,8.805292143698E7,10.26816368
2017-01-20,8.808408534323E7,10.58528042
2017-01-21,8.811571690573E7,10.85219193
2017-01-22,8.814715549948E7,10.72018909
2017-01-23,8.817876456198E7,10.72600555
2017-01-24,8.821002331198E7,10.71712017
2017-01-25,8.824151956198E7,10.5147543
2017-01-26,8.827312909323E7,10.57678699
2017-01-27,8.830449237448E7,10.48508549
2017-01-28,8.833590065573E7,10.51917839
2017-01-29,8.836704424948E7,10.49586296
2017-01-30,8.839873081198E7,10.50073338
2017-01-31,8.843074565573E7,10.56471634
2017-02-01,8.846171987448E7,10.62877083
2017-02-02,8.849299393698E7,10.67805576
2017-02-03,8.852438065573E7,10.87989998
2017-02-04,8.855601143698E7,11.3878479
2017-02-05,8.858795018698E7,11.3610239
2017-02-06,8.861923159323E7,11.39671993
2017-02-07,8.865098253073E7,11.46568871
2017-02-08,8.868250018698E7,11.34819221
2017-02-09,8.871392706198E7,11.54552555
2017-02-10,8.874546971823E7,11.06329632
2017-02-11,8.877722003073E7,11.27564049
2017-02-12,8.880858299948E7,11.31136131
2017-02-13,8.884024690573E7,11.20249748
2017-02-14,8.887192284323E7,12.58078289
2017-02-15,8.890347628073E7,12.81957531
2017-02-16,8.893477768698E7,12.60032368
2017-02-17,8.896666362448E7,12.78670406
2017-02-18,8.899743737448E7,12.7598362
2017-02-19,8.902896378073E7,12.80346584
