Time,ETH average daily block size,Price
2017-03-23,2453.1253546987145,42.05825806
2017-03-24,2494.5373792168166,47.57904434
2017-03-25,2551.7300520745844,49.47833252
2017-03-26,2369.4052156469406,49.62591171
2017-03-27,2801.7645475950217,50.76028824
2017-03-28,2589.299780071054,49.85445023
2017-03-29,2525.8963843321058,52.64440155
2017-03-30,2771.055134041477,53.08503342
2017-03-31,3202.685169704063,50.63747025
2017-04-01,2519.229106382979,50.14421844
2017-04-02,2441.001673360107,49.48337173
2017-04-03,2924.3504536894366,44.73745728
2017-04-04,2554.2575959933224,45.10642242
2017-04-05,2510.626012145749,45.77088165
2017-04-06,2643.775581979568,44.74009705
2017-04-07,2941.7992916174735,42.53973389
2017-04-08,2346.5367498314226,45.16585922
2017-04-09,2349.1301734501117,43.21027756
2017-04-10,2435.559737569061,43.20684814
2017-04-11,2344.622534728177,44.11178589
2017-04-12,2442.284381478922,43.5552063
2017-04-13,2901.937141864907,48.4173317
2017-04-14,2450.3196749068743,48.83977509
2017-04-15,2417.813580031419,47.44621277
2017-04-16,2179.851016190148,48.78649902
2017-04-17,2285.7998633879783,48.3175087
2017-04-18,2438.18656207367,50.59074783
2017-04-19,2675.1935483870966,50.81941223
2017-04-20,2668.5007784120394,48.48793793
2017-04-21,2561.122780054645,49.44398117
2017-04-22,2630.389051471854,48.68815231
2017-04-23,2348.5557840616966,48.38895798
2017-04-24,2458.646379310345,50.10398102
2017-04-25,2641.025671743967,49.86474609
2017-04-26,2933.158143607706,52.44770432
2017-04-27,2978.2537791214654,58.58997726
2017-04-28,2975.6514646553237,64.29021454
2017-04-29,2996.1287093942055,69.83218384
2017-04-30,2922.9295825120944,71.76806641
2017-05-01,3282.23191754043,81.4564209
2017-05-02,3612.442222615466,79.35325623
2017-05-03,3234.013260254597,80.05103302
2017-05-04,3175.289079229122,89.99662781
2017-05-05,3375.999651628636,102.02135468
2017-05-06,2884.362084296639,95.64967346
2017-05-07,3291.051083318654,96.7640152
2017-05-08,3290.766878755744,92.77739716
2017-05-09,3376.589698359499,89.14603424
2017-05-10,3373.0329922371207,92.84693909
2017-05-11,3274.649982499125,90.46638489
2017-05-12,3271.5768554344004,90.53853607
2017-05-13,3085.5268950825493,88.63881683
2017-05-14,3034.8861892583122,90.67169189
2017-05-15,3583.8154244497873,91.23472595
2017-05-16,3796.9008572493476,92.90254211
2017-05-17,3909.499069940476,90.16207123
2017-05-18,4415.035090942495,90.5670166
2017-05-19,4524.812431243125,117.65478516
2017-05-20,4455.867178924259,131.99972534
2017-05-21,4346.119232188999,128.32850647
2017-05-22,4863.3112235676845,186.88729858
2017-05-23,6512.854310828502,178.03849792
2017-05-24,6480.676636877622,193.230896
2017-05-25,6592.674371674922,200.00494385
2017-05-26,5450.650925925926,182.08970642
2017-05-27,5326.540369297611,156.48373413
2017-05-28,5412.782992821645,171.49882507
2017-05-29,4561.095988538682,183.16256714
2017-05-30,6415.220532319392,202.60342407
2017-05-31,7127.438993482983,230.24880981
2017-06-01,6823.535283018868,222.89427185
2017-06-02,7039.31037166764,222.15283203
