Time,Number of new addresses added per day on ETH,Price
2016-08-24,2457.0,11.04823494
2016-08-25,2219.0,11.24854374
2016-08-26,1851.0,11.29399109
2016-08-27,1738.0,11.19051075
2016-08-28,1548.0,11.10728836
2016-08-29,1760.0,10.91968632
2016-08-30,1840.0,11.19962215
2016-08-31,2107.0,11.20655727
2016-09-01,2452.0,12.0040493
2016-09-02,2098.0,12.05083942
2016-09-03,1922.0,11.68476868
2016-09-04,1891.0,11.7645483
2016-09-05,1799.0,11.73810863
2016-09-06,2005.0,11.61868286
2016-09-07,1880.0,11.6288023
2016-09-08,2210.0,11.56850052
2016-09-09,2086.0,11.45089531
2016-09-10,2136.0,11.72736263
2016-09-11,1866.0,11.85478401
2016-09-12,2588.0,11.65324211
2016-09-13,1968.0,12.08258915
2016-09-14,2077.0,11.94601536
2016-09-15,1864.0,12.00962353
2016-09-16,1835.0,11.93481731
2016-09-17,1998.0,12.58448887
2016-09-18,2064.0,12.67479992
2016-09-19,813.0,12.73502922
2016-09-20,2160.0,13.38055134
2016-09-21,2522.0,14.20669651
2016-09-22,2711.0,12.84622383
2016-09-23,1410.0,13.10164452
2016-09-24,1744.0,12.92832279
2016-09-25,1908.0,12.98826027
2016-09-26,2085.0,12.88971233
2016-09-27,1760.0,13.16527462
2016-09-28,1928.0,13.44039631
2016-09-29,1899.0,13.25716496
2016-09-30,4337.0,13.33109093
2016-10-01,2083.0,13.13239765
2016-10-02,1927.0,13.16473293
2016-10-03,2585.0,13.20552063
2016-10-04,38669.0,13.39880371
2016-10-05,3950.0,13.25749874
2016-10-06,2718.0,12.84533882
2016-10-07,2259.0,12.92625523
2016-10-08,2635.0,12.64265347
2016-10-09,2667.0,12.26047421
2016-10-10,3881.0,11.90778828
2016-10-11,19310.0,12.13507748
2016-10-12,6909243.0,11.73500061
2016-10-13,6323440.0,11.99354458
2016-10-14,1561944.0,11.9192934
2016-10-15,931034.0,11.86220741
2016-10-16,1122585.0,11.95855045
2016-10-17,1101914.0,11.92120838
2016-10-18,1187221.0,12.19547844
2016-10-19,3023.0,12.49901009
2016-10-20,1339.0,12.20103645
2016-10-21,1671.0,12.08692837
2016-10-22,1648.0,12.12838173
2016-10-23,1482.0,11.96116257
2016-10-24,1613.0,11.99033356
2016-10-25,2315.0,11.26816273
2016-10-26,2452.0,11.58884907
2016-10-27,1935.0,11.43562508
2016-10-28,1883.0,11.53957653
2016-10-29,2192.0,11.10292244
2016-10-30,1625.0,10.48897076
2016-10-31,1891.0,11.17594051
2016-11-01,2300.0,10.73330975
2016-11-02,2989.0,10.9131155
2016-11-03,3889.0,10.79964828
2016-11-04,1807.0,10.93370247
2016-11-05,1541.0,11.05909157
2016-11-06,1554.0,10.87234211
2016-11-07,1736.0,10.89083767
2016-11-08,1970.0,10.89247608
2016-11-09,2429.0,10.42971802
2016-11-10,2210.0,10.55637455
2016-11-11,2144.0,10.51397896
2016-11-12,1847.0,10.181036
2016-11-13,2306.0,10.19999409
2016-11-14,1745.0,9.98183823
2016-11-15,2056.0,10.24454117
2016-11-16,2005.0,10.28198242
2016-11-17,1705.0,10.10865688
2016-11-18,2091.0,9.97877407
2016-11-19,1706.0,9.57619572
2016-11-20,1811.0,9.61849403
2016-11-21,2024.0,9.57175732
2016-11-22,2911.0,9.94512939
2016-11-23,1547.0,9.87179089
2016-11-24,1620.0,9.78180313
2016-11-25,19079.0,9.27416229
2016-11-26,4379.0,9.37100124
2016-11-27,2780.0,9.12840176
2016-11-28,2064.0,8.95883465
2016-11-29,1776.0,8.48675156
2016-11-30,1696.0,8.27385712
2016-12-01,1852.0,8.39436626
2016-12-02,1936.0,7.63683796
2016-12-03,7523.0,7.90301895
2016-12-04,4837.0,7.90249872
2016-12-05,6782.0,7.46398783
2016-12-06,3278.0,6.9359355
2016-12-07,2135.0,7.57976294
2016-12-08,1722.0,8.57879162
2016-12-09,1939.0,8.57343674
2016-12-10,3396.0,8.30651474
2016-12-11,2441.0,8.21545887
2016-12-12,2012.0,8.41560459
2016-12-13,1673.0,8.44915771
2016-12-14,2643.0,8.3716526
2016-12-15,3701.0,7.98988962
2016-12-16,2678.0,7.83320808
2016-12-17,2112.0,7.78552341
2016-12-18,2889.0,7.89772511
2016-12-19,2130.0,7.74505043
2016-12-20,2160.0,7.63710451
2016-12-21,2054.0,7.67782974
2016-12-22,5015.0,7.61255884
2016-12-23,8135.0,7.40170383
2016-12-24,1970.0,7.33150196
2016-12-25,1333.0,7.31269884
2016-12-26,1320.0,7.28469181
2016-12-27,1492.0,7.21640587
2016-12-28,1979.0,7.3052659
2016-12-29,2344.0,8.08511066
2016-12-30,2671.0,8.1172781
2016-12-31,2965.0,7.97572088
2017-01-01,1762.0,8.44290161
2017-01-02,1822.0,8.29045868
2017-01-03,2380.0,8.42391968
2017-01-04,3568.0,10.40668869
2017-01-05,3637.0,10.17251587
2017-01-06,3006.0,10.12520123
2017-01-07,3110.0,10.04981232
2017-01-08,2365.0,10.08623219
2017-01-09,2332.0,10.32278633
2017-01-10,2227.0,10.40650654
2017-01-11,2506.0,9.87361526
2017-01-12,3044.0,9.5852623
2017-01-13,3776.0,9.74505711
2017-01-14,3553.0,9.6504097
2017-01-15,2647.0,9.8756094
2017-01-16,2675.0,9.84827423
2017-01-17,2492.0,10.10851097
2017-01-18,2580.0,10.13010597
2017-01-19,2675.0,10.26816368
2017-01-20,3335.0,10.58528042
2017-01-21,2372.0,10.85219193
2017-01-22,2281.0,10.72018909
2017-01-23,2658.0,10.72600555
2017-01-24,2784.0,10.71712017
2017-01-25,2387.0,10.5147543
2017-01-26,3199.0,10.57678699
2017-01-27,2667.0,10.48508549
2017-01-28,2700.0,10.51917839
2017-01-29,2130.0,10.49586296
2017-01-30,2523.0,10.50073338
2017-01-31,2052.0,10.56471634
2017-02-01,1868.0,10.62877083
2017-02-02,1992.0,10.67805576
2017-02-03,1865.0,10.87989998
2017-02-04,2306.0,11.3878479
2017-02-05,1779.0,11.3610239
2017-02-06,1743.0,11.39671993
2017-02-07,2066.0,11.46568871
2017-02-08,2081.0,11.34819221
2017-02-09,2536.0,11.54552555
2017-02-10,2028.0,11.06329632
2017-02-11,1955.0,11.27564049
2017-02-12,2571.0,11.31136131
2017-02-13,2208.0,11.20249748
2017-02-14,2507.0,12.58078289
2017-02-15,2912.0,12.81957531
2017-02-16,2471.0,12.60032368
2017-02-17,2047.0,12.78670406
2017-02-18,2921.0,12.7598362
2017-02-19,2149.0,12.80346584
2017-02-20,2150.0,12.86492729
2017-02-21,2682.0,12.48175907
2017-02-22,3090.0,12.70765495
2017-02-23,2345.0,12.77905083
2017-02-24,2637.0,13.0295639
2017-02-25,3246.0,13.61951256
2017-02-26,2714.0,13.46938324
2017-02-27,3295.0,14.63193226
2017-02-28,4218.0,15.80909538
2017-03-01,5834.0,15.73847675
2017-03-02,6692.0,18.7517395
2017-03-03,7245.0,18.50421143
2017-03-04,4950.0,19.98473167
2017-03-05,4189.0,18.85466194
2017-03-06,4658.0,19.22690392
2017-03-07,3979.0,19.42888832
2017-03-08,4105.0,18.37753296
2017-03-09,6224.0,17.54300308
2017-03-10,6073.0,18.28123283
2017-03-11,5796.0,19.06263924
2017-03-12,7142.0,21.85354805
2017-03-13,10529.0,25.04587555
2017-03-14,10158.0,28.24926949
2017-03-15,9120.0,30.52957153
2017-03-16,16917.0,40.88731766
2017-03-17,17006.0,46.54584885
2017-03-18,11967.0,36.93608093
2017-03-19,9761.0,39.4142952
2017-03-20,8984.0,44.19563293
2017-03-21,9611.0,44.21334076
2017-03-22,9789.0,39.89975739
2017-03-23,7926.0,42.05825806
2017-03-24,9959.0,47.57904434
2017-03-25,11168.0,49.47833252
2017-03-26,7599.0,49.62591171
2017-03-27,12057.0,50.76028824
2017-03-28,8963.0,49.85445023
2017-03-29,9382.0,52.64440155
2017-03-30,16112.0,53.08503342
2017-03-31,19072.0,50.63747025
2017-04-01,8523.0,50.14421844
2017-04-02,8525.0,49.48337173
2017-04-03,12468.0,44.73745728
2017-04-04,12261.0,45.10642242
2017-04-05,9227.0,45.77088165
2017-04-06,11702.0,44.74009705
2017-04-07,11939.0,42.53973389
2017-04-08,7440.0,45.16585922
2017-04-09,6275.0,43.21027756
2017-04-10,7226.0,43.20684814
2017-04-11,6361.0,44.11178589
2017-04-12,7706.0,43.5552063
2017-04-13,11265.0,48.4173317
2017-04-14,7450.0,48.83977509
2017-04-15,7470.0,47.44621277
2017-04-16,4223.0,48.78649902
2017-04-17,6351.0,48.3175087
2017-04-18,7622.0,50.59074783
2017-04-19,9398.0,50.81941223
2017-04-20,10460.0,48.48793793
2017-04-21,9950.0,49.44398117
2017-04-22,9498.0,48.68815231
2017-04-23,6609.0,48.38895798
2017-04-24,8478.0,50.10398102
2017-04-25,8658.0,49.86474609
2017-04-26,15956.0,52.44770432
2017-04-27,15102.0,58.58997726
2017-04-28,13447.0,64.29021454
2017-04-29,11794.0,69.83218384
2017-04-30,10708.0,71.76806641
2017-05-01,19859.0,81.4564209
2017-05-02,18441.0,79.35325623
2017-05-03,11873.0,80.05103302
2017-05-04,17230.0,89.99662781
2017-05-05,17669.0,102.02135468
2017-05-06,13754.0,95.64967346
2017-05-07,18806.0,96.7640152
2017-05-08,18641.0,92.77739716
2017-05-09,19577.0,89.14603424
2017-05-10,22045.0,92.84693909
2017-05-11,19674.0,90.46638489
2017-05-12,17770.0,90.53853607
2017-05-13,14639.0,88.63881683
2017-05-14,14333.0,90.67169189
2017-05-15,16682.0,91.23472595
2017-05-16,20460.0,92.90254211
2017-05-17,22029.0,90.16207123
2017-05-18,22699.0,90.5670166
2017-05-19,25988.0,117.65478516
2017-05-20,27519.0,131.99972534
2017-05-21,22513.0,128.32850647
2017-05-22,30102.0,186.88729858
2017-05-23,43702.0,178.03849792
2017-05-24,40327.0,193.230896
2017-05-25,43649.0,200.00494385
2017-05-26,35312.0,182.08970642
2017-05-27,31489.0,156.48373413
2017-05-28,26485.0,171.49882507
2017-05-29,25227.0,183.16256714
2017-05-30,38305.0,202.60342407
2017-05-31,47656.0,230.24880981
2017-06-01,43425.0,222.89427185
2017-06-02,44665.0,222.15283203
2017-06-03,38636.0,220.25239563
2017-06-04,36128.0,232.76301575
