Time,ETH number of daily active addresses,Price
2016-06-07,18149,14.37166882
2016-06-08,22592,14.66327095
2016-06-09,18334,14.4991045
2016-06-10,19028,14.21828842
2016-06-11,15384,13.91207123
2016-06-12,18660,14.43261623
2016-06-13,23534,16.94645119
2016-06-14,22579,18.11354256
2016-06-15,20974,18.37888336
2016-06-16,22245,19.52018738
2016-06-17,32245,16.71063805
2016-06-18,35516,14.45183182
2016-06-19,29550,12.41148281
2016-06-20,20317,11.93075275
2016-06-21,24300,11.63643742
2016-06-22,24857,14.68105698
2016-06-23,22423,12.69409752
2016-06-24,21837,13.91169453
2016-06-25,19312,14.45978928
2016-06-26,22611,14.23734951
2016-06-27,15822,13.82566166
2016-06-28,20503,12.92706299
2016-06-29,21532,12.46104908
2016-06-30,20528,12.48039055
2016-07-01,20303,12.38272381
2016-07-02,15995,12.18954659
2016-07-03,20580,12.11291218
2016-07-04,15926,11.78057957
2016-07-05,23103,11.4712038
2016-07-06,19995,10.69661427
2016-07-07,20580,10.08300591
2016-07-08,20680,10.02820587
2016-07-09,22380,10.93483829
2016-07-10,21008,10.81057549
2016-07-11,15974,10.43312836
2016-07-12,20206,10.4793787
2016-07-13,20815,10.48039627
2016-07-14,21065,10.86622524
2016-07-15,21001,12.07416058
2016-07-16,20228,11.75248337
2016-07-17,14255,11.31585407
2016-07-18,17508,11.30451298
2016-07-19,18918,11.15695477
2016-07-20,33123,11.73404217
2016-07-21,26834,12.3439846
2016-07-22,24854,12.62028027
2016-07-23,24844,14.16064739
2016-07-24,18694,14.23389816
2016-07-25,29305,13.25709438
2016-07-26,27707,13.63521957
2016-07-27,36456,12.86848545
2016-07-28,24539,12.85945034
2016-07-29,24707,12.63159943
2016-07-30,21784,12.69895267
2016-07-31,22089,11.60665894
2016-08-01,22895,11.58598137
2016-08-02,20257,10.71458149
2016-08-03,25059,9.52481365
2016-08-04,23661,10.47972965
2016-08-05,17017,11.03745079
2016-08-06,21247,10.87705135
2016-08-07,20682,10.91378212
2016-08-08,20864,10.94816113
2016-08-09,17712,12.00621319
2016-08-10,23202,12.29963112
2016-08-11,18439,11.8381052
2016-08-12,21975,11.65481853
2016-08-13,15088,11.64356232
2016-08-14,20464,11.57867813
2016-08-15,20543,11.00014877
2016-08-16,21961,11.14498329
2016-08-17,20699,10.9684124
2016-08-18,15284,10.86975956
2016-08-19,20233,10.78667927
2016-08-20,20217,11.01842213
2016-08-21,20329,11.16414452
2016-08-22,20539,11.19819069
2016-08-23,22083,10.97469711
2016-08-24,17481,11.04823494
2016-08-25,22197,11.24854374
2016-08-26,15873,11.29399109
2016-08-27,21237,11.19051075
2016-08-28,20102,11.10728836
2016-08-29,19927,10.91968632
2016-08-30,21356,11.19962215
2016-08-31,22347,11.20655727
2016-09-01,22705,12.0040493
2016-09-02,23128,12.05083942
2016-09-03,21458,11.68476868
2016-09-04,20550,11.7645483
2016-09-05,21566,11.73810863
2016-09-06,21248,11.61868286
2016-09-07,20706,11.6288023
2016-09-08,22759,11.56850052
2016-09-09,21473,11.45089531
2016-09-10,20977,11.72736263
2016-09-11,20835,11.85478401
2016-09-12,22395,11.65324211
2016-09-13,21364,12.08258915
2016-09-14,21139,11.94601536
2016-09-15,16051,12.00962353
2016-09-16,22956,11.93481731
2016-09-17,22155,12.58448887
2016-09-18,21877,12.67479992
2016-09-19,14381,12.73502922
2016-09-20,24060,13.38055134
2016-09-21,22166,14.20669651
2016-09-22,21440,12.84622383
2016-09-23,11767,13.10164452
2016-09-24,20918,12.92832279
2016-09-25,18767,12.98826027
2016-09-26,18386,12.88971233
2016-09-27,18026,13.16527462
2016-09-28,16738,13.44039631
2016-09-29,19892,13.25716496
2016-09-30,21039,13.33109093
2016-10-01,20652,13.13239765
2016-10-02,18527,13.16473293
2016-10-03,21322,13.20552063
2016-10-04,70598,13.39880371
2016-10-05,49353,13.25749874
2016-10-06,35000,12.84533882
2016-10-07,46524,12.92625523
2016-10-08,41022,12.64265347
2016-10-09,21439,12.26047421
2016-10-10,22417,11.90778828
2016-10-11,65468,12.13507748
2016-10-12,12591,11.73500061
2016-10-13,9198,11.99354458
2016-10-14,11908,11.9192934
2016-10-15,12335,11.86220741
2016-10-16,14401,11.95855045
