Time,ETH daily new contracts,Price
2017-04-07,967,42.53973389
2017-04-08,992,45.16585922
2017-04-09,821,43.21027756
2017-04-10,767,43.20684814
2017-04-11,218,44.11178589
2017-04-12,320,43.5552063
2017-04-13,3283,48.4173317
2017-04-14,775,48.83977509
2017-04-15,415,47.44621277
2017-04-16,199,48.78649902
2017-04-17,651,48.3175087
2017-04-18,987,50.59074783
2017-04-19,1253,50.81941223
2017-04-20,1512,48.48793793
2017-04-21,3422,49.44398117
2017-04-22,3684,48.68815231
2017-04-23,552,48.38895798
2017-04-24,1050,50.10398102
2017-04-25,1165,49.86474609
2017-04-26,2606,52.44770432
2017-04-27,3658,58.58997726
2017-04-28,1463,64.29021454
2017-04-29,1024,69.83218384
2017-04-30,1350,71.76806641
2017-05-01,1263,81.4564209
2017-05-02,4638,79.35325623
2017-05-03,757,80.05103302
2017-05-04,2368,89.99662781
2017-05-05,1045,102.02135468
2017-05-06,1986,95.64967346
2017-05-07,5966,96.7640152
2017-05-08,1671,92.77739716
2017-05-09,2875,89.14603424
2017-05-10,6998,92.84693909
2017-05-11,4000,90.46638489
2017-05-12,4113,90.53853607
2017-05-13,3116,88.63881683
2017-05-14,4061,90.67169189
2017-05-15,4737,91.23472595
2017-05-16,6466,92.90254211
2017-05-17,5159,90.16207123
2017-05-18,5713,90.5670166
2017-05-19,5658,117.65478516
2017-05-20,8114,131.99972534
2017-05-21,5554,128.32850647
2017-05-22,5966,186.88729858
2017-05-23,11636,178.03849792
2017-05-24,11561,193.230896
2017-05-25,12624,200.00494385
2017-05-26,9517,182.08970642
2017-05-27,8393,156.48373413
2017-05-28,8102,171.49882507
2017-05-29,7119,183.16256714
2017-05-30,11708,202.60342407
2017-05-31,13253,230.24880981
2017-06-01,8449,222.89427185
2017-06-02,12353,222.15283203
2017-06-03,11440,220.25239563
2017-06-04,12213,232.76301575
2017-06-05,6741,246.78031921
2017-06-06,10027,256.10177612
2017-06-07,13956,260.0604248
2017-06-08,9156,257.56234741
2017-06-09,8393,273.81515503
2017-06-10,8436,311.22879028
2017-06-11,10682,341.41125488
2017-06-12,13713,348.29885864
2017-06-13,8770,398.08557129
2017-06-14,9065,376.99716187
2017-06-15,9328,355.40454102
2017-06-16,8671,350.64282227
2017-06-17,7592,366.66964722
2017-06-18,9877,376.94723511
2017-06-19,13918,372.66906738
2017-06-20,7781,377.61639404
2017-06-21,1026,337.51074219
2017-06-22,11544,338.32897949
2017-06-23,12544,341.11270142
2017-06-24,8226,342.61224365
2017-06-25,10446,320.02047729
2017-06-26,12969,309.31256104
2017-06-27,4933,271.87319946
2017-06-28,8485,305.0274353
2017-06-29,13857,326.67578125
2017-06-30,14465,305.8001709
2017-07-01,7138,282.76315308
2017-07-02,8510,272.48422241
2017-07-03,15757,288.73574829
2017-07-04,6850,284.26412964
2017-07-05,9371,273.55728149
2017-07-06,12786,270.89187622
2017-07-07,8838,267.5269165
2017-07-08,5900,244.48466492
2017-07-09,17462,244.90852356
2017-07-10,3928,220.69154358
2017-07-11,4777,197.28175354
2017-07-12,4074,195.09162903
2017-07-13,20045,229.23893738
2017-07-14,7589,192.40531921
2017-07-15,3882,177.26097107
2017-07-16,3811,152.5894928
2017-07-17,10138,165.92953491
2017-07-18,10941,185.05493164
2017-07-19,15395,227.34802246
2017-07-20,10624,215.48780823
2017-07-21,15498,226.48606873
2017-07-22,5996,222.48902893
2017-07-23,5891,229.30355835
2017-07-24,11173,225.04364014
2017-07-25,10610,207.49874878
2017-07-26,13923,202.01931763
2017-07-27,9597,204.34919739
2017-07-28,3880,203.32189941
2017-07-29,5543,184.85980225
2017-07-30,8589,200.7035675
2017-07-31,8818,198.70417786
2017-08-01,13779,212.01089478
2017-08-02,12389,226.93367004
2017-08-03,10079,226.17558289
2017-08-04,13953,223.84744263
2017-08-05,6409,241.99623108
2017-08-06,14218,258.18136597
2017-08-07,13650,264.40625
2017-08-08,16498,271.21444702
2017-08-09,12409,318.71627808
2017-08-10,17426,305.47634888
2017-08-11,13245,298.42956543
2017-08-12,18974,312.16744995
2017-08-13,19707,301.66647339
2017-08-14,22438,302.30514526
2017-08-15,45350,285.17263794
2017-08-16,5585,290.7510376
2017-08-17,16333,304.14562988
2017-08-18,11008,300.87255859
2017-08-19,21121,292.3447876
2017-08-20,30095,294.63638306
2017-08-21,18915,301.27523804
2017-08-22,14811,309.95062256
2017-08-23,20199,319.51849365
2017-08-24,11289,318.86367798
2017-08-25,5575,334.72201538
2017-08-26,7208,330.87490845
2017-08-27,13207,334.78726196
2017-08-28,9431,343.97930908
2017-08-29,12670,349.96069336
2017-08-30,13256,376.90368652
2017-08-31,14596,380.72720337
2017-09-01,18981,389.35375977
2017-09-02,11259,378.00906372
2017-09-03,15599,352.28427124
2017-09-04,9464,286.66098022
2017-09-05,12134,276.37460327
2017-09-06,11868,324.12860107
2017-09-07,13420,324.2862854
2017-09-08,17530,299.46481323
2017-09-09,18542,292.76257324
2017-09-10,15140,285.07400513
2017-09-11,14598,299.41687012
2017-09-12,13952,301.41531372
2017-09-13,10557,269.80636597
2017-09-14,7433,239.42408752
2017-09-15,5504,252.30776978
2017-09-16,9238,240.00071716
2017-09-17,15582,243.30102539
2017-09-18,10765,287.33227539
2017-09-19,7871,287.42733765
2017-09-20,19166,288.71542358
2017-09-21,39016,280.62838745
2017-09-22,9171,256.54910278
2017-09-23,6389,264.14486694
2017-09-24,7084,292.67782593
2017-09-25,5188,286.30929565
2017-09-26,21970,288.91235352
2017-09-27,26786,290.36685181
2017-09-28,20545,296.44760132
2017-09-29,7809,280.80111694
2017-09-30,13534,302.53952026
2017-10-01,6697,298.63897705
2017-10-02,11830,300.26690674
2017-10-03,8744,299.65270996
2017-10-04,18406,297.97106934
2017-10-05,2292,290.89224243
2017-10-06,1987,295.99227905
2017-10-07,5337,309.40618896
2017-10-08,8262,312.48898315
2017-10-09,19361,299.80682373
2017-10-10,4171,305.36425781
2017-10-11,3102,300.83166504
2017-10-12,10799,307.37060547
2017-10-13,2883,340.62664795
2017-10-14,3118,343.33285522
2017-10-15,16102,334.2616272
2017-10-16,11659,339.01843262
2017-10-17,18437,320.37731934
2017-10-18,11913,306.11712646
2017-10-19,12123,308.99649048
2017-10-20,31438,308.71972656
2017-10-21,16689,292.77175903
2017-10-22,17233,303.14559937
2017-10-23,26649,282.73440552
2017-10-24,26628,308.03277588
2017-10-25,36586,295.03320313
2017-10-26,39945,298.24172974
2017-10-27,23848,295.4984436
2017-10-28,6809,297.35501099
2017-10-29,5004,309.5668335
2017-10-30,6714,307.23062134
2017-10-31,20182,306.80569458
2017-11-01,25732,303.97839355
2017-11-02,28793,288.53674316
2017-11-03,17500,288.54013062
2017-11-04,14661,301.08969116
2017-11-05,8909,296.11221313
2017-11-06,26914,304.67962646
2017-11-07,7779,292.50341797
2017-11-08,14875,300.17822266
2017-11-09,48579,309.02648926
2017-11-10,41795,305.67684937
2017-11-11,34364,302.44009399
2017-11-12,27913,307.16217041
2017-11-13,30092,316.65597534
2017-11-14,25869,321.51168823
2017-11-15,29221,335.67129517
2017-11-16,36174,331.2515564
2017-11-17,34277,333.92260742
2017-11-18,28117,329.41586304
2017-11-19,16995,357.2210083
2017-11-20,15495,361.82946777
2017-11-21,12197,369.5612793
2017-11-22,14890,363.42944336
2017-11-23,21290,412.79376221
2017-11-24,20417,412.22106934
2017-11-25,15115,474.94006348
2017-11-26,21593,460.09057617
2017-11-27,15751,480.62976074
2017-11-28,14708,480.12127686
2017-11-29,23802,496.43261719
2017-11-30,7878,408.70800781
2017-12-01,20925,456.96066284
2017-12-02,12622,469.29055786
2017-12-03,8676,462.17077637
2017-12-04,10105,466.52502441
2017-12-05,13154,468.7321167
2017-12-06,8058,456.16897583
2017-12-07,35838,425.63070679
2017-12-08,16529,453.54656982
2017-12-09,10818,471.6619873
2017-12-10,12214,452.13876343
2017-12-11,11763,473.95916748
2017-12-12,7778,535.36328125
2017-12-13,11722,618.68151855
2017-12-14,28240,692.40600586
2017-12-15,30274,696.08081055
2017-12-16,12591,699.24981689
2017-12-17,50388,716.13946533
2017-12-18,48439,732.18762207
2017-12-19,20570,820.32086182
2017-12-20,22626,805.95758057
2017-12-21,16086,795.32440186
2017-12-22,31297,655.90209961
2017-12-23,30247,736.55804443
2017-12-24,56360,653.69824219
2017-12-25,65598,757.78100586
2017-12-26,66034,773.18463135
2017-12-27,49777,781.16693115
2017-12-28,40069,739.44537354
2017-12-29,39978,754.77386475
2017-12-30,25726,709.14361572
2017-12-31,46630,723.21386719
2018-01-01,68558,769.96173096
2018-01-02,37939,886.34436035
2018-01-03,18744,882.25628662
2018-01-04,10612,954.21325684
2018-01-05,7647,1045.29394531
2018-01-06,7568,1002.57525635
2018-01-07,11928,1090.83947754
2018-01-08,12533,1088.60693359
2018-01-09,13135,1209.15039063
2018-01-10,21177,1364.84814453
2018-01-11,16147,1228.5994873
2018-01-12,20296,1247.54699707
2018-01-13,20415,1295.71936035
2018-01-14,28770,1392.17797852
2018-01-15,24023,1346.0513916
2018-01-16,11967,1242.75341797
2018-01-17,11142,954.39715576
2018-01-18,7339,1025.27148438
2018-01-19,9247,1061.92993164
2018-01-20,11120,1075.56970215
