Time,ETH mining difficulty,Price
2016-03-20,1.92145353687165E13,10.12177372
2016-03-21,1.935404930719332E13,10.7028656
2016-03-22,1.928473220107808E13,11.17704868
2016-03-23,1.912035739694237E13,11.58344746
2016-03-24,1.939162602229448E13,11.89057636
2016-03-25,2.0695605898063977E13,10.80713367
2016-03-26,2.1059870192663082E13,10.97277355
2016-03-27,2.1820798403205863E13,10.64578438
2016-03-28,2.1810185703818027E13,11.40559769
2016-03-29,2.2377450341469086E13,11.86002159
2016-03-30,2.2754193228364387E13,11.83287334
2016-03-31,2.3455676361791156E13,11.88503265
2016-04-01,2.3735921960403598E13,11.82422066
2016-04-02,2.3522616046428027E13,11.45416546
2016-04-03,2.4131710263729715E13,11.5846262
2016-04-04,2.4955410732648355E13,11.15642166
2016-04-05,2.5585912953739254E13,10.88610268
2016-04-06,2.5751704144882926E13,10.42926121
2016-04-07,2.4890834140139875E13,10.21233654
2016-04-08,2.533187529724415E13,10.27226067
2016-04-09,2.7233240102664453E13,9.96868324
2016-04-10,2.657462818727266E13,8.50895214
2016-04-11,2.7184814897354016E13,8.8178339
2016-04-12,2.6163735402468742E13,7.67186689
2016-04-13,2.7123762294765707E13,7.12070036
2016-04-14,2.7388032587564766E13,8.27220345
2016-04-15,2.8031350164149785E13,8.30276871
2016-04-16,2.8701413646229797E13,8.35909748
2016-04-17,2.8195601301964066E13,9.57394218
2016-04-18,2.9385300433644984E13,9.06841278
2016-04-19,2.9988905567409543E13,9.13057518
2016-04-20,2.9863169431214637E13,8.53954411
2016-04-21,3.083091938565602E13,8.49539566
2016-04-22,2.972330539463766E13,8.16850376
2016-04-23,3.0822546344612246E13,7.85513306
2016-04-24,3.0648334275405066E13,8.24351597
2016-04-25,3.0979491955004223E13,7.78498888
2016-04-26,3.1708551669412223E13,7.45745134
2016-04-27,3.0979755149928707E13,7.85904932
2016-04-28,3.2045786149893207E13,7.28087854
2016-04-29,3.2355448793424895E13,7.45272541
2016-04-30,3.3325739956991004E13,9.31284428
2016-05-01,3.4416796558083508E13,8.75332546
2016-05-02,3.2486424877869445E13,9.1801405
2016-05-03,3.3879560028909113E13,9.96475506
2016-05-04,3.421438151545248E13,9.64718056
2016-05-05,3.3818138970594656E13,9.60092926
2016-05-06,3.4035848252002277E13,9.75081062
2016-05-07,3.4249311701350527E13,9.30714512
2016-05-08,3.4180920295812434E13,9.26994324
2016-05-09,3.488458913097402E13,9.41054821
2016-05-10,3.532205231732126E13,9.40432358
2016-05-11,3.5263790297803984E13,9.46284485
2016-05-12,3.4147116848865715E13,10.33878708
2016-05-13,3.64844906559552E13,10.39747715
2016-05-14,3.711140833935232E13,10.29762363
2016-05-15,3.662457543482933E13,10.0948925
2016-05-16,3.758157886122783E13,10.16970253
2016-05-17,3.650308749109256E13,11.30505466
2016-05-18,3.745113423103109E13,13.38962555
2016-05-19,3.894584562762365E13,13.85283089
2016-05-20,4.011009703254737E13,14.72865677
2016-05-21,4.0531400097656625E13,13.66317368
2016-05-22,3.986274713822809E13,14.05455685
2016-05-23,4.0351576185209695E13,13.64112186
2016-05-24,4.09660596173802E13,13.50997543
2016-05-25,4.090019510131833E13,12.23726654
2016-05-26,4.189914012553103E13,12.3975172
2016-05-27,4.144411581513223E13,10.94718933
2016-05-28,4.270093318800961E13,10.60098743
2016-05-29,4.319961714161216E13,12.05819702
2016-05-30,4.347291600457205E13,12.33735371
2016-05-31,4.364736157084048E13,13.99980831
2016-06-01,4.22104958427752E13,14.06221104
2016-06-02,4.250975414445515E13,13.71955585
2016-06-03,4.476547076323328E13,13.43216801
2016-06-04,4.486644515065212E13,13.61271477
2016-06-05,4.5018143517420266E13,13.64867115
2016-06-06,4.461881453584845E13,13.85687065
2016-06-07,4.636619573586036E13,14.37166882
2016-06-08,4.584784856606238E13,14.66327095
2016-06-09,4.7174378531634E13,14.4991045
2016-06-10,4.7846861900008516E13,14.21828842
2016-06-11,4.615255334186797E13,13.91207123
2016-06-12,4.737702188385348E13,14.43261623
2016-06-13,4.839901377189638E13,16.94645119
2016-06-14,5.007320835390823E13,18.11354256
2016-06-15,4.943333671470526E13,18.37888336
2016-06-16,4.96625642820288E13,19.52018738
2016-06-17,4.9551722111569516E13,16.71063805
2016-06-18,4.59122914291458E13,14.45183182
2016-06-19,4.777406270038581E13,12.41148281
2016-06-20,5.1326050921022586E13,11.93075275
2016-06-21,5.039509296411647E13,11.63643742
2016-06-22,4.976750100528009E13,14.68105698
2016-06-23,5.341760471867601E13,12.69409752
2016-06-24,5.245626275557081E13,13.91169453
2016-06-25,5.376455794716957E13,14.45978928
2016-06-26,5.362225983271105E13,14.23734951
2016-06-27,5.454079652995474E13,13.82566166
2016-06-28,5.579195514991838E13,12.92706299
2016-06-29,5.5343760501068836E13,12.46104908
2016-06-30,5.526843877582928E13,12.48039055
2016-07-01,5.44787911041559E13,12.38272381
2016-07-02,5.680777730685052E13,12.18954659
2016-07-03,5.709437286916782E13,12.11291218
2016-07-04,5.7149248657553664E13,11.78057957
2016-07-05,5.905178943868881E13,11.4712038
2016-07-06,5.683501393063672E13,10.69661427
2016-07-07,5.723660835226316E13,10.08300591
2016-07-08,5.82865038581624E13,10.02820587
2016-07-09,5.657452659043556E13,10.93483829
2016-07-10,5.808133041963218E13,10.81057549
2016-07-11,5.85695763904963E13,10.43312836
2016-07-12,5.992255484213153E13,10.4793787
