Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,dropout,epoch,features,lags,layers,learning_rate,n_periods,prediction_start_date,units,accuracy_daily,avg_accuracy,avg_mae,avg_mape,avg_mse,avg_precision,avg_rmse,avg_rmspe,mae_daily,mape_daily,mse_daily,precision_daily,rmse_daily,rmspe_daily,model_selected
11/08/2025 19:30,8.0s,3c6f66f6cd884ebe9c1dee8cf36655e4,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0.1,15,['ETH_D_AvgPrc'],7,1,0.01,7,04/03/2023,64,0.458646617,0.477980666,59.14516796,0.03255526,6662.696824,0.483115128,78.67903613,4.367280827,79.03409548,0.04344532,11026.5385,0.462686567,105.007326,5.823552098,0
11/08/2025 19:21,10.5s,ac3414267557448c9f0c2b5995818e34,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0,15,['ETH_D_AvgPrc'],7,1,0.01,7,04/03/2023,128,0.466165414,0.481203008,59.01780529,0.032442579,6817.708878,0.483900164,78.68016896,4.352274112,82.57161695,0.044894188,12106.11645,0.467741935,110.0277985,5.988859602,0
12/08/2025 00:50,24.4s,811e55a5cbcf40a2827f225a1495fe6e,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0,40,['ETH_D_AvgPrc'],28,3,0.01,7,04/03/2023,32,0.421052632,0.47905478,60.45351232,0.033135153,6859.491047,0.485487755,78.71180955,4.337640568,84.45106105,0.046046772,12554.06916,0.428571429,112.0449426,6.132303285,0
11/08/2025 19:51,33.9s,298a863a45bc49cf970629e9824edc1c,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0.1,90,['ETH_D_AvgPrc'],7,2,0.001,7,04/03/2023,64,0.436090226,0.468313641,60.00013721,0.033133963,6720.73432,0.470959279,78.7149683,4.390730613,80.81111248,0.044482858,11882.69254,0.4375,109.0077637,6.054349664,0
12/08/2025 00:35,31.6s,5f00053f9965451aad560b43ea221518,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0.05,41,['ETH_D_AvgPrc'],28,2,0.01,7,04/03/2023,64,0.45112782,0.47905478,60.76651765,0.033416163,6890.581156,0.48348716,78.72708572,4.35581045,82.17421338,0.044890775,12075.0682,0.454545455,109.8866152,6.02613128,0
12/08/2025 00:13,33.0s,b275a57cb6af437ba6beae8fae937921,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0,200,['ETH_D_AvgPrc'],28,1,0.001,7,04/03/2023,32,0.45112782,0.477980666,59.9418272,0.033028935,6717.118241,0.483010077,78.76587776,4.376097689,79.2930011,0.043575676,11235.55038,0.455882353,105.9978791,5.874701027,0
11/08/2025 19:18,49.4s,1554ce52bba54b72bf7f235102f54747,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0,200,['ETH_D_AvgPrc'],7,1,0.001,7,04/03/2023,32,0.45112782,0.47905478,60.07246859,0.033114547,6926.261246,0.482320732,78.81687174,4.381772602,88.61126089,0.048826364,13471.21618,0.451612903,116.0655685,6.452043755,0
11/08/2025 23:46,11.0s,87fcfe6154004419a04ab1109371574f,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0.1,15,['ETH_D_AvgPrc'],21,2,0.01,7,04/03/2023,128,0.45112782,0.470461869,60.23714381,0.033129332,6643.43789,0.475139437,78.82131425,4.365121553,81.69240966,0.04512789,11385.09406,0.457142857,106.7009562,5.978072919,0
11/08/2025 20:34,6.5s,e2add85a47c041629d9fa39e7d0b9547,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0.1,11,['ETH_D_AvgPrc'],14,1,0.01,7,04/03/2023,128,0.45112782,0.475832438,61.43195898,0.033788616,6477.565217,0.480110463,78.82622607,4.368371917,77.70845869,0.042437771,9846.996582,0.454545455,99.23203405,5.445276306,0
12/08/2025 00:07,38.5s,b297584da4d14a8fbbd381eb220c82f4,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0.1,44,['ETH_D_AvgPrc'],21,3,0.001,7,04/03/2023,64,0.436090226,0.480128894,59.65444156,0.032828777,6742.960385,0.484722111,78.87858404,4.375758057,80.19237845,0.044127966,11497.65834,0.439393939,107.2271344,5.960809239,0
11/08/2025 19:21,29.1s,c6621dedfc764049ac6ef6d909ea2fcc,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0,95,['ETH_D_AvgPrc'],7,1,0.001,7,04/03/2023,128,0.443609023,0.473684211,59.90315937,0.032953178,6723.573097,0.477851791,78.95770956,4.374192444,81.60126673,0.044851677,11856.23615,0.442622951,108.8863451,6.027106093,0
12/08/2025 00:51,45.1s,48ed0e99cbe64c928577c6a8d9c407bc,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0,200,['ETH_D_AvgPrc'],28,3,0.001,7,04/03/2023,32,0.428571429,0.482277121,59.78305522,0.032759573,6775.337221,0.487240158,78.97559884,4.350256326,80.67566216,0.044135689,11629.31215,0.432835821,107.8392885,5.92668267,0
11/08/2025 19:24,11.7s,1f56e76e482b4479baa83e27b0dab002,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0.05,19,['ETH_D_AvgPrc'],7,1,0.01,7,04/03/2023,64,0.428571429,0.483351235,59.73930836,0.032874263,6846.626027,0.487843902,79.00012737,4.378788907,79.26162995,0.043326423,11470.43028,0.430769231,107.1000947,5.877337013,0
11/08/2025 21:16,39.9s,9e457d9de9b84552b809a7242f18b152,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0.05,46,['ETH_D_AvgPrc'],14,3,0.001,7,04/03/2023,128,0.443609023,0.481203008,59.83025776,0.032953485,6740.591928,0.486826994,79.00715056,4.390171778,80.73736412,0.044436051,11890.91041,0.449275362,109.0454511,6.061453857,0
