Time,ETH number of daily transactions on the chain,Price
2017-04-16,68215,48.78649902
2017-04-17,73205,48.3175087
2017-04-18,76273,50.59074783
2017-04-19,87474,50.81941223
2017-04-20,88299,48.48793793
2017-04-21,79071,49.44398117
2017-04-22,77618,48.68815231
2017-04-23,75416,48.38895798
2017-04-24,78326,50.10398102
2017-04-25,85905,49.86474609
2017-04-26,97003,52.44770432
2017-04-27,99463,58.58997726
2017-04-28,100237,64.29021454
2017-04-29,99584,69.83218384
2017-04-30,88821,71.76806641
2017-05-01,108666,81.4564209
2017-05-02,111764,79.35325623
2017-05-03,103521,80.05103302
2017-05-04,106766,89.99662781
2017-05-05,117653,102.02135468
2017-05-06,95077,95.64967346
2017-05-07,100409,96.7640152
2017-05-08,113781,92.77739716
2017-05-09,117978,89.14603424
2017-05-10,111247,92.84693909
2017-05-11,114195,90.46638489
2017-05-12,112584,90.53853607
2017-05-13,102382,88.63881683
2017-05-14,99161,90.67169189
2017-05-15,118116,91.23472595
2017-05-16,116359,92.90254211
2017-05-17,128333,90.16207123
2017-05-18,142534,90.5670166
2017-05-19,151752,117.65478516
2017-05-20,141521,131.99972534
2017-05-21,139084,128.32850647
2017-05-22,170961,186.88729858
2017-05-23,184032,178.03849792
2017-05-24,186082,193.230896
2017-05-25,189159,200.00494385
2017-05-26,171157,182.08970642
2017-05-27,158758,156.48373413
2017-05-28,153400,171.49882507
2017-05-29,149344,183.16256714
2017-05-30,183033,202.60342407
2017-05-31,206664,230.24880981
2017-06-01,214183,222.89427185
2017-06-02,192204,222.15283203
2017-06-03,182258,220.25239563
2017-06-04,173764,232.76301575
2017-06-05,189872,246.78031921
2017-06-06,197103,256.10177612
2017-06-07,202262,260.0604248
2017-06-08,199567,257.56234741
2017-06-09,201170,273.81515503
2017-06-10,205268,311.22879028
2017-06-11,242947,341.41125488
2017-06-12,282973,348.29885864
2017-06-13,274887,398.08557129
2017-06-14,260668,376.99716187
2017-06-15,257006,355.40454102
2017-06-16,259204,350.64282227
2017-06-17,239413,366.66964722
2017-06-18,246860,376.94723511
2017-06-19,262559,372.66906738
2017-06-20,340814,377.61639404
2017-06-21,210158,337.51074219
2017-06-22,257436,338.32897949
2017-06-23,307350,341.11270142
2017-06-24,253933,342.61224365
2017-06-25,233739,320.02047729
2017-06-26,256574,309.31256104
2017-06-27,300028,271.87319946
2017-06-28,264565,305.0274353
2017-06-29,280705,326.67578125
2017-06-30,253291,305.8001709
2017-07-01,237484,282.76315308
2017-07-02,244412,272.48422241
2017-07-03,296005,288.73574829
2017-07-04,284170,284.26412964
2017-07-05,278656,273.55728149
2017-07-06,263700,270.89187622
2017-07-07,281489,267.5269165
2017-07-08,259579,244.48466492
2017-07-09,241470,244.90852356
2017-07-10,260116,220.69154358
2017-07-11,313029,197.28175354
2017-07-12,268191,195.09162903
2017-07-13,279036,229.23893738
2017-07-14,241639,192.40531921
2017-07-15,254751,177.26097107
2017-07-16,229695,152.5894928
2017-07-17,252139,165.92953491
2017-07-18,244119,185.05493164
2017-07-19,288560,227.34802246
2017-07-20,263585,215.48780823
2017-07-21,236547,226.48606873
2017-07-22,211279,222.48902893
2017-07-23,248656,229.30355835
2017-07-24,270854,225.04364014
2017-07-25,241328,207.49874878
2017-07-26,228657,202.01931763
2017-07-27,229426,204.34919739
2017-07-28,239669,203.32189941
2017-07-29,209215,184.85980225
2017-07-30,193832,200.7035675
2017-07-31,249658,198.70417786
2017-08-01,223539,212.01089478
2017-08-02,231591,226.93367004
2017-08-03,235131,226.17558289
2017-08-04,256993,223.84744263
2017-08-05,248196,241.99623108
2017-08-06,260756,258.18136597
2017-08-07,273752,264.40625
2017-08-08,316305,271.21444702
2017-08-09,295672,318.71627808
2017-08-10,307367,305.47634888
2017-08-11,348500,298.42956543
2017-08-12,359492,312.16744995
2017-08-13,316573,301.66647339
2017-08-14,397411,302.30514526
2017-08-15,411974,285.17263794
2017-08-16,414389,290.7510376
2017-08-17,427649,304.14562988
2017-08-18,450361,300.87255859
2017-08-19,387525,292.3447876
2017-08-20,323870,294.63638306
2017-08-21,366444,301.27523804
2017-08-22,381521,309.95062256
2017-08-23,377910,319.51849365
2017-08-24,357887,318.86367798
2017-08-25,358318,334.72201538
2017-08-26,304041,330.87490845
2017-08-27,305257,334.78726196
2017-08-28,364694,343.97930908
2017-08-29,387457,349.96069336
2017-08-30,397591,376.90368652
2017-08-31,381931,380.72720337
2017-09-01,392512,389.35375977
2017-09-02,357586,378.00906372
2017-09-03,309762,352.28427124
2017-09-04,394042,286.66098022
2017-09-05,449848,276.37460327
2017-09-06,476400,324.12860107
2017-09-07,479823,324.2862854
2017-09-08,440967,299.46481323
2017-09-09,435889,292.76257324
2017-09-10,332511,285.07400513
2017-09-11,348352,299.41687012
2017-09-12,387723,301.41531372
2017-09-13,389988,269.80636597
2017-09-14,353187,239.42408752
2017-09-15,423809,252.30776978
2017-09-16,408071,240.00071716
2017-09-17,317038,243.30102539
2017-09-18,318474,287.33227539
2017-09-19,365199,287.42733765
2017-09-20,327228,288.71542358
2017-09-21,317693,280.62838745
2017-09-22,292804,256.54910278
2017-09-23,254175,264.14486694
2017-09-24,271193,292.67782593
2017-09-25,299228,286.30929565
2017-09-26,315887,288.91235352
2017-09-27,297042,290.36685181
2017-09-28,319512,296.44760132
2017-09-29,329068,280.80111694
2017-09-30,313248,302.53952026
2017-10-01,277139,298.63897705
2017-10-02,300334,300.26690674
2017-10-03,319699,299.65270996
2017-10-04,321017,297.97106934
2017-10-05,310584,290.89224243
2017-10-06,317302,295.99227905
2017-10-07,301279,309.40618896
2017-10-08,287521,312.48898315
2017-10-09,312633,299.80682373
2017-10-10,346774,305.36425781
2017-10-11,353855,300.83166504
2017-10-12,344533,307.37060547
2017-10-13,397746,340.62664795
2017-10-14,341923,343.33285522
2017-10-15,319317,334.2616272
2017-10-16,357523,339.01843262
2017-10-17,492380,320.37731934
2017-10-18,496446,306.11712646
2017-10-19,478714,308.99649048
2017-10-20,523563,308.71972656
2017-10-21,515710,292.77175903
2017-10-22,426620,303.14559937
2017-10-23,451565,282.73440552
2017-10-24,497891,308.03277588
2017-10-25,469224,295.03320313
2017-10-26,457456,298.24172974
2017-10-27,481152,295.4984436
2017-10-28,482446,297.35501099
2017-10-29,481595,309.5668335
2017-10-30,522583,307.23062134
2017-10-31,536626,306.80569458
2017-11-01,521976,303.97839355
2017-11-02,539038,288.53674316
2017-11-03,500373,288.54013062
2017-11-04,420469,301.08969116
2017-11-05,403307,296.11221313
2017-11-06,472996,304.67962646
2017-11-07,497725,292.50341797
2017-11-08,458929,300.17822266
2017-11-09,484538,309.02648926
2017-11-10,447845,305.67684937
2017-11-11,421015,302.44009399
2017-11-12,435550,307.16217041
2017-11-13,439701,316.65597534
2017-11-14,456385,321.51168823
2017-11-15,519217,335.67129517
2017-11-16,500572,331.2515564
2017-11-17,527952,333.92260742
2017-11-18,473011,329.41586304
2017-11-19,449378,357.2210083
2017-11-20,507333,361.82946777
2017-11-21,529870,369.5612793
2017-11-22,543224,363.42944336
2017-11-23,534787,412.79376221
2017-11-24,526149,412.22106934
2017-11-25,582150,474.94006348
2017-11-26,512176,460.09057617
2017-11-27,596422,480.62976074
2017-11-28,632945,480.12127686
2017-11-29,646205,496.43261719
2017-11-30,651132,408.70800781
2017-12-01,641016,456.96066284
2017-12-02,625443,469.29055786
2017-12-03,642128,462.17077637
2017-12-04,712422,466.52502441
2017-12-05,713651,468.7321167
2017-12-06,763422,456.16897583
2017-12-07,696178,425.63070679
2017-12-08,726526,453.54656982
2017-12-09,736665,471.6619873
2017-12-10,716602,452.13876343
2017-12-11,806220,473.95916748
2017-12-12,823580,535.36328125
2017-12-13,911003,618.68151855
2017-12-14,919706,692.40600586
2017-12-15,927417,696.08081055
2017-12-16,897615,699.24981689
