Time,ETH Gas price,Price
2017-08-07,1.9520626154720742E-8,264.40625
2017-08-08,2.4459506443073326E-8,271.21444702
2017-08-09,2.0895696016858344E-8,318.71627808
2017-08-10,1.87927085302547E-8,305.47634888
2017-08-11,2.0960418778598166E-8,298.42956543
2017-08-12,2.0326369055788698E-8,312.16744995
2017-08-13,2.0343004305429314E-8,301.66647339
2017-08-14,1.8441364812461198E-8,302.30514526
2017-08-15,1.5755859394337208E-8,285.17263794
2017-08-16,4.624397826789032E-8,290.7510376
2017-08-17,2.4924353310482407E-8,304.14562988
2017-08-18,5.4733741938411205E-8,300.87255859
2017-08-19,2.3025431527782694E-8,292.3447876
2017-08-20,2.2730061148654135E-8,294.63638306
2017-08-21,1.878739748136971E-8,301.27523804
2017-08-22,1.991573123022449E-8,309.95062256
2017-08-23,1.7506915059309305E-8,319.51849365
2017-08-24,2.0126228867408203E-8,318.86367798
2017-08-25,2.1508170827960764E-8,334.72201538
2017-08-26,2.260840755745921E-8,330.87490845
2017-08-27,1.818186008367285E-8,334.78726196
2017-08-28,1.9016522543736215E-8,343.97930908
2017-08-29,2.3155983003814408E-8,349.96069336
2017-08-30,2.522420556102726E-8,376.90368652
2017-08-31,3.6768645814505644E-8,380.72720337
2017-09-01,2.963986559608993E-8,389.35375977
2017-09-02,3.8260194090693587E-8,378.00906372
2017-09-03,2.0837647885461424E-8,352.28427124
2017-09-04,2.417750451404482E-8,286.66098022
2017-09-05,2.962961944026293E-8,276.37460327
2017-09-06,3.3793432060460665E-8,324.12860107
2017-09-07,3.484442465384936E-8,324.2862854
2017-09-08,3.259593848201698E-8,299.46481323
2017-09-09,3.085357440772426E-8,292.76257324
2017-09-10,2.6443246072654452E-8,285.07400513
2017-09-11,2.1961806014772486E-8,299.41687012
2017-09-12,2.6193319763003928E-8,301.41531372
2017-09-13,2.6715508130124187E-8,269.80636597
2017-09-14,2.216156010519233E-8,239.42408752
2017-09-15,2.9074326287887785E-8,252.30776978
2017-09-16,3.3580112621711876E-8,240.00071716
2017-09-17,2.3675213975221743E-8,243.30102539
2017-09-18,2.1766083295619833E-8,287.33227539
2017-09-19,2.2125720436844133E-8,287.42733765
2017-09-20,3.341075616822541E-8,288.71542358
2017-09-21,1.986517247162222E-8,280.62838745
2017-09-22,1.853069068703837E-8,256.54910278
2017-09-23,2.3408601152667925E-8,264.14486694
2017-09-24,2.906194219129714E-8,292.67782593
2017-09-25,2.495163653219923E-8,286.30929565
2017-09-26,2.2096589349422118E-8,288.91235352
2017-09-27,2.6210080920819748E-8,290.36685181
2017-09-28,2.3115140720792514E-8,296.44760132
2017-09-29,2.0985663948536927E-8,280.80111694
2017-09-30,2.3650494030651395E-8,302.53952026
2017-10-01,2.256068948150376E-8,298.63897705
2017-10-02,2.3630497856605654E-8,300.26690674
2017-10-03,2.2602749029256452E-8,299.65270996
2017-10-04,2.3050020689011947E-8,297.97106934
2017-10-05,2.3753370106624137E-8,290.89224243
2017-10-06,2.963618611020731E-8,295.99227905
2017-10-07,2.2625366607364492E-8,309.40618896
2017-10-08,2.1996327040386953E-8,312.48898315
2017-10-09,2.259146118143161E-8,299.80682373
2017-10-10,2.5625420938674876E-8,305.36425781
2017-10-11,5.8022314559805626E-8,300.83166504
2017-10-12,2.4510972655981984E-8,307.37060547
2017-10-13,2.8481628023118597E-8,340.62664795
2017-10-14,2.4408691111500728E-8,343.33285522
2017-10-15,2.3291126349587865E-8,334.2616272
2017-10-16,1.771493258452075E-8,339.01843262
2017-10-17,1.3706280341175E-8,320.37731934
2017-10-18,1.4239956889062886E-8,306.11712646
2017-10-19,1.1395806817863347E-8,308.99649048
2017-10-20,1.945599841999465E-8,308.71972656
2017-10-21,1.1972630305199487E-8,292.77175903
2017-10-22,1.1094383290787155E-8,303.14559937
2017-10-23,1.1669430979036358E-8,282.73440552
2017-10-24,1.4659840275649251E-8,308.03277588
2017-10-25,1.086875453794163E-8,295.03320313
2017-10-26,1.0705644286269137E-8,298.24172974
2017-10-27,1.134013223855385E-8,295.4984436
2017-10-28,1.0294356504549405E-8,297.35501099
2017-10-29,9.870367284064592E-9,309.5668335
2017-10-30,1.0322905327788695E-8,307.23062134
2017-10-31,1.0746240849194264E-8,306.80569458
2017-11-01,1.2495977852474897E-8,303.97839355
2017-11-02,1.2889377334754134E-8,288.53674316
2017-11-03,1.1034963550320074E-8,288.54013062
2017-11-04,9.471249947088958E-9,301.08969116
2017-11-05,1.127458099454936E-8,296.11221313
2017-11-06,1.2056802351378545E-8,304.67962646
2017-11-07,1.3251645756243388E-8,292.50341797
2017-11-08,1.5854297607920886E-8,300.17822266
2017-11-09,1.3721729100368306E-8,309.02648926
2017-11-10,1.295270644039722E-8,305.67684937
2017-11-11,1.0083931932628696E-8,302.44009399
2017-11-12,1.260723957391166E-8,307.16217041
2017-11-13,1.2704900458602226E-8,316.65597534
2017-11-14,1.2931274254016254E-8,321.51168823
2017-11-15,1.32212901069896E-8,335.67129517
2017-11-16,1.4339237903526274E-8,331.2515564
2017-11-17,1.5476517379759683E-8,333.92260742
2017-11-18,1.0621282381959087E-8,329.41586304
