Time,ETH market cap,Price
2018-06-13,4.670553793706924E10,466.81652832
2018-06-14,4.884206836477016E10,488.07028198
2018-06-15,5.058767321986972E10,505.40997314
2018-06-16,4.946998637658345E10,494.14157104
2018-06-17,5.0347948659307175E10,502.80886841
2018-06-18,4.983724139850743E10,497.6065979
2018-06-19,5.176935611158688E10,516.79144287
2018-06-20,5.223763515934026E10,521.35968018
2018-06-21,5.435427550959344E10,542.37335205
2018-06-22,4.744061122875412E10,473.28866577
2018-06-23,4.709071703577131E10,469.70175171
2018-06-24,4.276515118896003E10,426.46948242
2018-06-25,4.666175400448902E10,465.23287964
2018-06-26,4.602233699557588E10,458.76348877
2018-06-27,4.356084658063232E10,434.13684082
2018-06-28,4.352259023598439E10,433.66781616
2018-06-29,4.2429011702195656E10,422.68499756
2018-06-30,4.501505856301109E10,448.35598755
2018-07-01,4.536654495935991E10,451.76501465
2018-07-02,4.7742367276363235E10,475.32598877
2018-07-03,4.731454534517737E10,470.97000122
2018-07-04,4.764913634285117E10,474.20401001
2018-07-05,4.8022037625120735E10,477.81698608
2018-07-06,4.737248263929887E10,471.25900269
2018-07-07,4.736028622093237E10,471.04098511
2018-07-08,4.952055758342623E10,492.42800903
2018-07-09,4.8700859584873825E10,484.17700195
2018-07-10,4.444608462963198E10,441.7869873
2018-07-11,4.473001760708518E10,444.51901245
2018-07-12,4.340505675428359E10,431.26300049
2018-07-13,4.43124954009889E10,440.19000244
2018-07-14,4.405705568301637E10,437.56298828
2018-07-15,4.556708928128342E10,452.46899414
2018-07-16,4.526513812768803E10,449.3789978
2018-07-17,4.772426335969313E10,473.6960144
2018-07-18,4.969282823936646E10,493.13500977
2018-07-19,4.8011414437459E10,476.35198975
2018-07-20,4.632366129682602E10,459.51400757
2018-07-21,4.594887220176502E10,455.70498657
2018-07-22,4.728137996734545E10,468.82400513
2018-07-23,4.67621089838248E10,463.58099365
2018-07-24,4.5708481063482864E10,453.04299927
2018-07-25,4.7106264313059265E10,466.80200195
2018-07-26,4.801957932298941E10,475.75500488
2018-07-27,4.6933226383823074E10,464.89801025
2018-07-28,4.741703853546667E10,469.59500122
2018-07-29,4.714411018959233E10,466.79699707
2018-07-30,4.689948375620034E10,464.28100586
2018-07-31,4.574059673680764E10,452.71704102
2018-08-01,4.229357017285803E10,418.51538086
2018-08-02,4.184275753691457E10,413.97015381
2018-08-03,4.076851840310326E10,403.26046753
2018-08-04,4.1054227286390236E10,406.00280762
2018-08-05,4.1355977952801636E10,408.90481567
2018-08-06,4.129505626516775E10,408.21939087
2018-08-07,4.152237157724646E10,410.38409424
2018-08-08,3.729296775898059E10,368.50820923
2018-08-09,3.6614007285887085E10,361.72634888
2018-08-10,3.670003056322698E10,362.50222778
2018-08-11,3.258953731996495E10,321.83587646
2018-08-12,3.2874302378645634E10,324.58312988
2018-08-13,3.2531407830512276E10,321.13269043
2018-08-14,2.7240771280183178E10,268.85174561
2018-08-15,2.904340224381944E10,286.58566284
2018-08-16,2.9716002476308826E10,293.16366577
2018-08-17,3.0230972096794407E10,298.18359375
2018-08-18,3.1719157223781574E10,312.79956055
2018-08-19,3.0519894471691578E10,300.91165161
2018-08-20,2.9376852854173286E10,289.58407593
2018-08-21,2.8153058906705692E10,277.46426392
2018-08-22,2.9662888284381615E10,292.28509521
2018-08-23,2.781391785119454E10,274.01196289
2018-08-24,2.7964259662919346E10,275.43688965
2018-08-25,2.8636566219880844E10,282.00238037
2018-08-26,2.7971065885923084E10,275.39273071
2018-08-27,2.7832627385943806E10,273.97457886
2018-08-28,2.9381153736560116E10,289.15997314
2018-08-29,2.93994972556683E10,289.28250122
2018-08-30,2.847495523846066E10,280.12875366
2018-08-31,2.8345136738900597E10,278.79541016
2018-09-01,3.0068157818191196E10,295.68313599
2018-09-02,2.9722255459886715E10,292.22320557
2018-09-03,2.9490063456023575E10,289.88180542
2018-09-04,2.9454920684590588E10,289.47851563
2018-09-05,2.621818129348949E10,257.61624146
2018-09-06,2.3248285703138668E10,228.38856506
2018-09-07,2.3529023695507797E10,231.10040283
2018-09-08,2.2198817435252323E10,217.99169922
2018-09-09,1.943423394364573E10,190.80628967
2018-09-10,1.9928231883597775E10,195.61668396
2018-09-11,1.8859844127900177E10,185.09275818
2018-09-12,1.760112104177298E10,172.70466614
2018-09-13,2.065864245886178E10,202.66493225
2018-09-14,2.1247610720720596E10,208.40078735
2018-09-15,2.284405209693308E10,224.01403809
2018-09-16,2.2046978871862835E10,216.15457153
2018-09-17,2.274739264214899E10,222.97711182
2018-09-18,2.003370656710989E10,196.33753967
2018-09-19,2.14473014306428E10,210.1486969
2018-09-20,2.1388174164189636E10,209.52790833
2018-09-21,2.277916555229677E10,223.11013794
2018-09-22,2.4648938540716156E10,241.37475586
2018-09-23,2.4657273229674694E10,241.40855408
2018-09-24,2.3749321107195427E10,232.47236633
2018-09-25,2.2706661171174946E10,222.22172546
2018-09-26,2.2595853283526577E10,221.0927124
2018-09-27,2.224302196323473E10,217.59713745
2018-09-28,2.311425849917499E10,226.0748291
2018-09-29,2.3690882972578815E10,231.66853333
2018-09-30,2.3946477615640213E10,234.12156677
2018-10-01,2.385385091608896E10,233.16940308
2018-10-02,2.3283883652226234E10,227.55273438
2018-10-03,2.2430524509863716E10,219.16912842
2018-10-04,2.3026075120454075E10,224.94371033
2018-10-05,2.269652402251533E10,221.67993164
2018-10-06,2.308199615274671E10,225.40007019
2018-10-07,2.315120288990498E10,226.03083801
2018-10-08,2.308615394895308E10,225.35081482
2018-10-09,2.331483154675659E10,227.53782654
2018-10-10,2.3191516943404728E10,226.28916931
2018-10-11,2.057367103342486E10,200.70567322
2018-10-12,2.0409207552358944E10,199.06156921
2018-10-13,2.027786161188463E10,197.74105835
2018-10-14,2.0564096635127705E10,200.49247742
2018-10-15,2.1496519655206406E10,209.54171753
2018-10-16,2.1385761484548103E10,208.42079163
2018-10-17,2.1612286075554394E10,210.58654785
2018-10-18,2.1359553206813885E10,208.0823822
2018-10-19,2.0887184332467777E10,203.44036865
2018-10-20,2.0944066446589054E10,203.95391846
2018-10-21,2.1300138479160194E10,207.38040161
2018-10-22,2.1027434009989456E10,204.68469238
2018-10-23,2.07891713843293E10,202.32518005
2018-10-24,2.089904666828394E10,203.35398865
2018-10-25,2.082892506253884E10,202.63148499
2018-10-26,2.0836248687188503E10,202.6627655
2018-10-27,2.0949913676459747E10,203.7277832
2018-10-28,2.1090316521518246E10,205.05267334
2018-10-29,2.1108318341598595E10,205.18717957
2018-10-30,2.0312098847493267E10,197.40827942
2018-10-31,2.0291527384299488E10,197.16949463
2018-11-01,2.053811893387536E10,199.52622986
2018-11-02,2.0570674271911865E10,199.80334473
2018-11-03,2.0591981313119946E10,199.97109985
2018-11-04,2.059560483355293E10,199.96685791
2018-11-05,2.148293617905689E10,208.54122925
2018-11-06,2.143416850368154E10,208.02682495
2018-11-07,2.239189577321813E10,217.27890015
2018-11-08,2.2121410501612183E10,214.61178589
2018-11-09,2.165222717940253E10,210.01855469
2018-11-10,2.1752921787186615E10,210.95387268
2018-11-11,2.186350836850274E10,211.98426819
2018-11-12,2.1815373771136112E10,211.47625732
2018-11-13,2.156814874817696E10,209.03872681
2018-11-14,2.00062787126167E10,193.8629303
2018-11-15,1.831190676461141E10,177.40956116
2018-11-16,1.832043317862673E10,177.45750427
2018-11-17,1.7914439957774284E10,173.49142456
2018-11-18,1.8150287469939686E10,175.74108887
2018-11-19,1.6108269920619658E10,155.93885803
2018-11-20,1.5407373340548521E10,149.12464905
2018-11-21,1.3841226606291388E10,133.94046021
2018-11-22,1.3646667294488953E10,132.03199768
2018-11-23,1.2761234869374058E10,123.4414978
2018-11-24,1.2629134462700935E10,122.13981628
2018-11-25,1.0970721319054825E10,106.08036041
2018-11-26,1.1326633024373352E10,109.50065613
2018-11-27,1.0827984439961481E10,104.66004181
2018-11-28,1.1596230265970469E10,112.06407928
2018-11-29,1.2137523862994001E10,117.27232361
2018-11-30,1.229740006280181E10,118.7940008
2018-12-01,1.2290984308367779E10,118.70929896
2018-12-02,1.2196215700229172E10,117.77186347
2018-12-03,1.1207395576447548E10,108.20283119
2018-12-04,1.1629598349769197E10,112.25761995
2018-12-05,1.118398351984997E10,107.93569236
