Time,ETH daily transaction fee,Price
2017-05-10,116.63,92.84693909
2017-05-11,104.67,90.46638489
2017-05-12,111.7,90.53853607
2017-05-13,105.92,88.63881683
2017-05-14,104.36,90.67169189
2017-05-15,123.17,91.23472595
2017-05-16,139.08,92.90254211
2017-05-17,136.49,90.16207123
2017-05-18,235.54,90.5670166
2017-05-19,159.52,117.65478516
2017-05-20,173.1,131.99972534
2017-05-21,149.63,128.32850647
2017-05-22,163.04,186.88729858
2017-05-23,246.47,178.03849792
2017-05-24,246.6,193.230896
2017-05-25,262.07,200.00494385
2017-05-26,195.74,182.08970642
2017-05-27,202.15,156.48373413
2017-05-28,190.28,171.49882507
2017-05-29,166.49,183.16256714
2017-05-30,282.25,202.60342407
2017-05-31,591.12,230.24880981
2017-06-01,335.6,222.89427185
2017-06-02,275.85,222.15283203
2017-06-03,250.88,220.25239563
2017-06-04,255.86,232.76301575
2017-06-05,214.46,246.78031921
2017-06-06,253.91,256.10177612
2017-06-07,276.23,260.0604248
2017-06-08,253.85,257.56234741
2017-06-09,239.72,273.81515503
2017-06-10,224.65,311.22879028
2017-06-11,273.43,341.41125488
2017-06-12,442.17,348.29885864
2017-06-13,387.46,398.08557129
2017-06-14,269.82,376.99716187
2017-06-15,261.08,355.40454102
2017-06-16,277.32,350.64282227
2017-06-17,238.48,366.66964722
2017-06-18,261.62,376.94723511
2017-06-19,255.66,372.66906738
2017-06-20,434.6,377.61639404
2017-06-21,1017.11,337.51074219
2017-06-22,804.54,338.32897949
2017-06-23,512.51,341.11270142
2017-06-24,637.25,342.61224365
2017-06-25,379.17,320.02047729
2017-06-26,781.86,309.31256104
2017-06-27,482.76,271.87319946
2017-06-28,665.0,305.0274353
2017-06-29,547.22,326.67578125
2017-06-30,374.51,305.8001709
2017-07-01,311.36,282.76315308
2017-07-02,324.98,272.48422241
2017-07-03,409.92,288.73574829
2017-07-04,346.21,284.26412964
2017-07-05,376.84,273.55728149
2017-07-06,394.31,270.89187622
2017-07-07,330.95,267.5269165
2017-07-08,306.94,244.48466492
2017-07-09,366.01,244.90852356
2017-07-10,231.6,220.69154358
2017-07-11,299.32,197.28175354
2017-07-12,245.25,195.09162903
2017-07-13,393.34,229.23893738
2017-07-14,273.98,192.40531921
2017-07-15,309.1,177.26097107
2017-07-16,246.93,152.5894928
2017-07-17,293.71,165.92953491
2017-07-18,290.44,185.05493164
2017-07-19,428.27,227.34802246
2017-07-20,298.34,215.48780823
2017-07-21,268.76,226.48606873
2017-07-22,265.18,222.48902893
