Date,Open,High,Low,Close,Adj Close,Volume,AddressCount,AverageDailyTransactionFee,AvgGasPrice,BlockCountRewards,BlockDifficulty,BlockReward,BlockSize,BlockTime,DailyActiveEthAddress,deployed contracts,Ethersupply2,GasLimit,GasUsed,NetworkHash,TransactionFee,TxGrowth,Uncles,verified contracts
2021-08-15,3266.276123046875,3320.084228515625,3117.791748046875,3310.504150390625,3310.504150390625,22166205051,166304396,22.47,62553842764,6420,7737.132,13323.875,74785,13.32,456085,9529,117286825.43328483,30002035,99379334111,599448.6015,2358074248296748143259,1125295,274,127
2021-08-16,3309.422119140625,3333.994873046875,3139.778564453125,3156.509521484375,3156.509521484375,23080039949,166410920,15.26,61227895718,6500,7634.419,13530.375,71482,13.12,508229,9507,117296724.86681494,30001665,100445846889,600680.3239,1310763512265301086020,1253968,298,183
2021-08-17,3149.38037109375,3288.812744140625,2996.46826171875,3014.845947265625,3014.845947265625,25509056745,166516574,13.84,57136391227,6516,7748.339,13596.0,72395,13.1,497259,9151,117307123.50949688,30002719,100680820245,612692.7613,1417496633464935555348,1252163,316,257
2021-08-18,3011.963623046875,3124.97607421875,2959.0283203125,3020.08984375,3020.08984375,21539248425,166611439,13.24,53671161049,6399,7914.005,13348.3125,68426,13.32,481125,8880,117317743.67846148,30004904,98851968299,614434.5584,1409570369677545930471,1201544,309,213
2021-08-19,3019.126953125,3184.435546875,2963.150146484375,3182.7021484375,3182.7021484375,19546290360,166714898,15.75,51748682012,6565,8001.443,13730.3125,68754,13.0,529141,9461,117329049.02912495,30006027,101304757807,639189.3216,2645504918400780249252,1255453,337,205
2021-08-20,3182.16259765625,3298.24658203125,3178.103759765625,3286.935302734375,3286.935302734375,20885619828,166824984,12.3,48398307664,6459,7909.075,13478.5,67679,13.22,525317,10421,117340153.44975652,30017251,99940118989,620184.9921,1234079173964204953277,1260054,316,203
2021-08-21,3286.931640625,3307.3515625,3209.8662109375,3226.083984375,3226.083984375,18113977628,166923651,10.92,40395653415,6431,8126.167,13416.0625,71428,13.31,491604,10963,117351647.76507288,30070225,99756143054,634292.4571,954602328894338390913,1186758,313,145
2021-08-22,3226.227294921875,3272.733154296875,3142.007080078125,3242.115478515625,3242.115478515625,15983278460,167019139,10.95,40824934168,6521,8084.737,13562.25,78149,13.09,470627,11119,117363256.19850536,30067635,101082305531,637515.1922,901300029957830106554,1183893,292,156
2021-08-23,3241.357421875,3373.38427734375,3235.851318359375,3319.25732421875,3319.25732421875,20511110509,167124412,17.74,67801123728,6409,7981.274,13396.4375,80991,13.31,494884,9772,117372410.83823544,30076835,99288240247,622243.7809,1262352285783336578619,1245624,327,216
2021-08-24,3324.85546875,3358.688232421875,3154.121337890625,3172.456298828125,3172.456298828125,20131028906,167228284,22.38,86798598845,6509,8124.014,13568.3125,91844,13.1,475678,10648,117379912.11249375,30046481,100637826151,641082.4804,1605275981584498963035,1247051,309,108
2021-08-25,3174.269775390625,3248.727294921875,3086.114990234375,3224.915283203125,3224.915283203125,18902728235,167329251,27.59,102281584369,6439,8224.447,13509.1875,85144,13.23,454671,11326,117386167.42475162,30008084,99457429577,646723.3124,1720928520912377394345,1184780,355,213
2021-08-26,3228.747314453125,3249.6552734375,3060.228759765625,3100.325439453125,3100.325439453125,17405668117,167424768,26.25,97977717090,6504,8272.83,13530.8125,84563,13.19,451366,11216,117392555.237997,30008147,100446975073,650815.1401,1683321403751661293172,1175063,293,225
2021-08-27,3096.406005859375,3281.840576171875,3064.485107421875,3270.600830078125,3270.600830078125,18489602004,167519272,39.58,121232572405,6431,8289.887,13451.875,82066,13.21,440305,11603,117396008.61628155,30008228,99511881806,649086.6499,2392139055913395119074,1119072,334,153
2021-08-28,3275.1044921875,3284.845947265625,3217.403564453125,3244.4033203125,3244.4033203125,13709633698,167612234,28.76,89483984349,6460,8203.337,13437.25,83726,13.24,460844,12580,117402852.7693476,30008099,99488799028,641075.5588,2283158592385384206660,1131721,292,155
