Time,BTC total supply,Price
2010-03-08,2221300.0,null
2010-03-09,2228700.0,null
2010-03-10,2235750.0,null
2010-03-11,2243050.0,null
2010-03-12,2249300.0,null
2010-03-13,2256950.0,null
2010-03-14,2263250.0,null
2010-03-15,2269800.0,null
2010-03-16,2276400.0,null
2010-03-17,2282500.0,null
2010-03-18,2290300.0,null
2010-03-19,2297000.0,null
2010-03-20,2306300.0,null
2010-03-21,2315500.0,null
2010-03-22,2324200.0,null
2010-03-23,2334200.0,null
2010-03-24,2343250.0,null
2010-03-25,2352450.0,null
2010-03-26,2362400.0,null
2010-03-27,2370950.0,null
2010-03-28,2380700.0,null
2010-03-29,2390250.0,null
2010-03-30,2400600.0,null
2010-03-31,2411200.0,null
2010-04-01,2420700.0,null
2010-04-02,2428050.0,null
2010-04-03,2436800.0,null
2010-04-04,2444750.0,null
2010-04-05,2453000.0,null
2010-04-06,2460450.0,null
2010-04-07,2469900.0,null
2010-04-08,2479800.0,null
2010-04-09,2488450.0,null
2010-04-10,2499750.0,null
2010-04-11,2512100.0,null
2010-04-12,2523250.0,null
2010-04-13,2531800.0,null
2010-04-14,2541600.0,null
2010-04-15,2551800.0,null
2010-04-16,2561800.0,null
2010-04-17,2572500.0,null
2010-04-18,2585400.0,null
2010-04-19,2596400.0,null
2010-04-20,2606750.0,null
2010-04-21,2617350.0,null
2010-04-22,2626900.0,null
2010-04-23,2634100.0,null
2010-04-24,2641600.0,null
2010-04-25,2650200.0,null
2010-04-26,2658800.0,null
2010-04-27,2667050.0,null
2010-04-28,2676000.0,null
2010-04-29,2683800.0,null
2010-04-30,2691550.0,null
2010-05-01,2699400.0,null
2010-05-02,2708300.0,null
2010-05-03,2716400.0,null
2010-05-04,2722800.0,null
2010-05-05,2730050.0,null
2010-05-06,2737300.0,null
2010-05-07,2744250.0,null
2010-05-08,2751350.0,null
2010-05-09,2758500.0,null
2010-05-10,2765750.0,null
2010-05-11,2771400.0,null
2010-05-12,2777600.0,null
2010-05-13,2783650.0,null
2010-05-14,2789900.0,null
2010-05-15,2795200.0,null
2010-05-16,2800050.0,null
2010-05-17,2806900.0,null
2010-05-18,2815300.0,null
2010-05-19,2823150.0,null
2010-05-20,2832600.0,null
2010-05-21,2841950.0,null
2010-05-22,2851300.0,null
2010-05-23,2861950.0,null
2010-05-24,2871500.0,null
2010-05-25,2882250.0,null
2010-05-26,2893050.0,null
2010-05-27,2902500.0,null
2010-05-28,2913100.0,null
2010-05-29,2923750.0,null
2010-05-30,2931300.0,null
2010-05-31,2938400.0,null
2010-06-01,2945550.0,null
2010-06-02,2952100.0,null
2010-06-03,2959750.0,null
2010-06-04,2966800.0,null
2010-06-05,2973550.0,null
2010-06-06,2981150.0,null
2010-06-07,2988600.0,null
2010-06-08,2996450.0,null
2010-06-09,3004900.0,null
2010-06-10,3012950.0,null
2010-06-11,3021350.0,null
2010-06-12,3028400.0,null
2010-06-13,3036400.0,null
2010-06-14,3043800.0,null
2010-06-15,3053750.0,null
2010-06-16,3061450.0,null
2010-06-17,3068400.0,null
2010-06-18,3075650.0,null
2010-06-19,3083950.0,null
2010-06-20,3092150.0,null
2010-06-21,3100350.0,null
2010-06-22,3108200.0,null
