Time,LTC total addresses,Price
2013-08-19,1816951,2.80048609
2013-08-20,1821382,2.82386994
2013-08-21,1825900,2.77449799
2013-08-22,1830111,2.69410539
2013-08-23,1834163,2.78159809
2013-08-24,1838340,2.73876691
2013-08-25,1842550,2.67909718
2013-08-26,1846214,2.57654262
2013-08-27,1850240,2.56829739
2013-08-28,1854428,2.57513285
2013-08-29,1858300,2.53700781
2013-08-30,1862189,2.53509212
2013-08-31,1866115,2.6564765
2013-09-01,1869902,2.59063387
2013-09-02,1873580,2.57158661
2013-09-03,1876704,2.55353642
2013-09-04,1880230,2.59953117
2013-09-05,1884442,2.81660724
2013-09-06,1888495,2.78025031
2013-09-07,1892644,2.68096948
2013-09-08,1896441,2.70479274
2013-09-09,1899568,2.7321012
2013-09-10,1902437,2.73121428
2013-09-11,1904937,2.64369011
2013-09-12,1907763,2.74895406
2013-09-13,1910533,2.68980742
2013-09-14,1913472,2.66239715
2013-09-15,1916273,2.58541203
2013-09-16,1919173,2.64729786
2013-09-17,1922017,2.6304841
2013-09-18,1924670,2.60258961
2013-09-19,1927358,2.54857802
2013-09-20,1929985,2.60956407
2013-09-21,1932465,2.4793334
2013-09-22,1934979,2.52543259
2013-09-23,1938397,2.52671814
2013-09-24,1941551,2.47184038
2013-09-25,1944531,2.46989822
2013-09-26,1947562,2.36675668
2013-09-27,1950439,2.4021523
2013-09-28,1953502,2.39180756
2013-09-29,1956799,2.26631999
2013-09-30,1959604,2.29863405
2013-10-01,1962539,2.34312868
2013-10-02,1965638,2.42047644
2013-10-03,1969583,1.97769594
2013-10-04,1972921,2.17695236
2013-10-05,1976141,2.19185519
2013-10-06,1980239,2.13334322
2013-10-07,1983358,2.17442393
2013-10-08,1986600,2.09501219
2013-10-09,1989779,1.98087895
2013-10-10,1993201,1.93130255
2013-10-11,1997041,2.02531743
2013-10-12,1999675,2.0682199
2013-10-13,2002396,2.12248302
2013-10-14,2005416,2.14893603
2013-10-15,2008388,2.05524206
2013-10-16,2012044,1.97210097
2013-10-17,2014508,1.91683865
2013-10-18,2017303,1.91598332
2013-10-19,2020356,1.90522015
2013-10-20,2023154,1.86937737
2013-10-21,2026054,1.93154001
2013-10-22,2029326,1.82102048
2013-10-23,2032005,1.69963443
2013-10-24,2035651,2.0573101
2013-10-25,2039532,2.29320407
2013-10-26,2042486,2.16129851
2013-10-27,2045389,2.20396805
2013-10-28,2048372,2.12691641
2013-10-29,2051056,2.17213702
2013-10-30,2053856,2.12974381
2013-10-31,2056930,2.27834201
2013-11-01,2061217,2.34485006
2013-11-02,2064763,2.4594295
2013-11-03,2070016,2.71700811
2013-11-04,2076166,2.9000566
2013-11-05,2081293,3.08287454
2013-11-06,2086090,3.04261541
2013-11-07,2093627,3.35997128
2013-11-08,2100979,4.37839508
2013-11-09,2109161,4.60807371
2013-11-10,2114990,4.3358326
2013-11-11,2119991,3.91142821
2013-11-12,2125017,4.01380205
2013-11-13,2130460,4.01759624
2013-11-14,2136667,4.10880518
2013-11-15,2143677,4.27378798
2013-11-16,2150300,4.19366407
2013-11-17,2157888,4.33022738
2013-11-18,2167914,4.12657976
2013-11-19,2184772,9.42268753
2013-11-20,2195108,7.96456432
2013-11-21,2204656,8.0114336
2013-11-22,2214756,9.36222553
2013-11-23,2225935,10.11698723
2013-11-24,2236127,10.58983517
2013-11-25,2245860,10.31981659
2013-11-26,2261491,12.3760128
2013-11-27,2283290,19.90896797
2013-11-28,2312243,38.99134827
2013-11-29,2334001,44.36878586
2013-11-30,2354617,36.94169235
2013-12-01,2372769,40.57338333
2013-12-02,2392144,34.46994781
2013-12-03,2409775,33.34876633
2013-12-04,2428482,39.32089233
2013-12-05,2448354,44.52996063
2013-12-06,2463620,37.46313858
2013-12-07,2480038,29.73739243
2013-12-08,2494709,23.17858505
2013-12-09,2512025,27.21146393
2013-12-10,2529702,31.49889565
