Time,LTC full node data size,Price
2013-05-18,1045.05964400,3.19864917
2013-05-19,1048.19345100,3.30205488
2013-05-20,1051.25855200,3.31485009
2013-05-21,1054.52833600,3.19326329
2013-05-22,1057.34424000,3.09191275
2013-05-23,1060.24055700,3.11852193
2013-05-24,1063.51717900,3.17013001
2013-05-25,1066.70375100,3.18774509
2013-05-26,1069.51523400,3.12410855
2013-05-27,1072.47155500,3.23070002
2013-05-28,1075.58883300,3.10280037
2013-05-29,1078.63403700,3.09212899
2013-05-30,1081.47577400,3.07745743
2013-05-31,1084.36553100,2.97139311
2013-06-01,1087.20652100,2.94213581
2013-06-02,1089.57359500,2.82779098
2013-06-03,1092.05986900,2.73052502
2013-06-04,1094.77659900,2.70330501
2013-06-05,1098.09692000,2.8674674
2013-06-06,1100.66812500,2.87684035
2013-06-07,1103.78664100,2.7791369
2013-06-08,1106.72222000,2.60405993
2013-06-09,1109.72790800,2.55273461
2013-06-10,1113.17371600,2.38438463
2013-06-11,1116.26377800,2.49284434
2013-06-12,1118.53328000,2.41216993
2013-06-13,1121.32807200,2.39850903
2013-06-14,1124.02963600,2.26920676
2013-06-15,1126.38871400,2.1389997
2013-06-16,1128.37125400,2.08581996
2013-06-17,1130.57218600,2.13885903
2013-06-18,1132.94381400,2.28164101
2013-06-19,1135.27672200,2.30478644
2013-06-20,1137.70788800,2.29816866
2013-06-21,1140.50600300,2.32596111
2013-06-22,1145.17096700,2.86342502
2013-06-23,1149.02993700,2.89759588
2013-06-24,1152.05609900,3.13449526
2013-06-25,1154.72295900,2.84831095
2013-06-26,1158.74955000,2.80642462
2013-06-27,1161.67400300,2.88080001
2013-06-28,1165.43063800,3.03684282
2013-06-29,1168.05328400,2.76123214
2013-06-30,1170.70336300,2.78822064
2013-07-01,1174.93825400,3.00915861
2013-07-02,1178.30850900,2.94967508
2013-07-03,1181.86470000,2.84685397
2013-07-04,1185.30761000,2.67515993
2013-07-05,1187.93943300,2.7068615
2013-07-06,1191.15247000,2.42302251
2013-07-07,1193.44436800,2.45777678
2013-07-08,1196.37553100,2.71115971
2013-07-09,1198.86497900,2.5847609
2013-07-10,1201.59083800,2.60924721
2013-07-11,1204.51216600,2.83712006
2013-07-12,1207.90162700,2.72275782
2013-07-13,1210.39276800,2.80747962
2013-07-14,1212.95593400,2.92842889
2013-07-15,1215.43976100,2.87367344
2013-07-16,1218.47786700,2.9993422
2013-07-17,1221.23241300,3.07634521
2013-07-18,1223.98121200,3.14510536
2013-07-19,1226.28294200,2.88130379
2013-07-20,1228.66654300,2.96239996
2013-07-21,1230.57917300,2.87428427
2013-07-22,1233.22607200,2.94577599
2013-07-23,1235.67256600,2.8872323
2013-07-24,1238.05230100,2.9881146
2013-07-25,1240.53135300,2.94855642
2013-07-26,1242.49644200,2.98315144
2013-07-27,1244.27848400,2.89692783
2013-07-28,1245.93518500,2.88486409
2013-07-29,1248.20052100,2.94328332
2013-07-30,1250.82193400,2.97261262
2013-07-31,1253.38917900,3.0010097
2013-08-01,1255.86903800,2.87411332
2013-08-02,1257.79502300,2.94225001
2013-08-03,1260.03822900,2.84242773
2013-08-04,1262.44560500,3.01101542
2013-08-05,1264.82381000,2.99907351
2013-08-06,1267.77966800,2.84408832
2013-08-07,1270.85438000,2.82161355
2013-08-08,1273.33743900,2.75361848
2013-08-09,1275.83411300,2.71074104
2013-08-10,1278.35243200,2.68513608
2013-08-11,1281.13211600,2.55130982
2013-08-12,1283.19677100,2.69429994
2013-08-13,1285.88471300,2.65549135
2013-08-14,1288.13393000,2.75969052
2013-08-15,1291.41861400,2.7352581
2013-08-16,1293.65334000,2.76197362
2013-08-17,1295.35985300,2.71722984
2013-08-18,1297.26147000,2.80070996
2013-08-19,1299.99356500,2.80048609
2013-08-20,1302.96969900,2.82386994
2013-08-21,1305.30621600,2.77449799
2013-08-22,1307.47014900,2.69410539
2013-08-23,1309.60037100,2.78159809
2013-08-24,1311.75070000,2.73876691
2013-08-25,1314.09483400,2.67909718
2013-08-26,1317.27126300,2.57654262
2013-08-27,1320.27417300,2.56829739
2013-08-28,1322.93433900,2.57513285
2013-08-29,1324.88542000,2.53700781
2013-08-30,1327.03855200,2.53509212
2013-08-31,1329.57028300,2.6564765
2013-09-01,1331.47835200,2.59063387
2013-09-02,1333.62372600,2.57158661
2013-09-03,1335.47689000,2.55353642
2013-09-04,1337.66348400,2.59953117
2013-09-05,1340.76984600,2.81660724
2013-09-06,1342.71841500,2.78025031
2013-09-07,1344.98096800,2.68096948
2013-09-08,1346.93446400,2.70479274
2013-09-09,1348.67105300,2.7321012
2013-09-10,1350.19845100,2.73121428
2013-09-11,1351.56234300,2.64369011
2013-09-12,1353.16296500,2.74895406
2013-09-13,1354.76632200,2.68980742
2013-09-14,1356.42120500,2.66239715
2013-09-15,1358.13163200,2.58541203
2013-09-16,1359.74394000,2.64729786
2013-09-17,1361.49922100,2.6304841
2013-09-18,1363.28726000,2.60258961
2013-09-19,1365.10298600,2.54857802
2013-09-20,1367.02444000,2.60956407
2013-09-21,1368.34397900,2.4793334
2013-09-22,1369.82952200,2.52543259
2013-09-23,1371.84616300,2.52671814
2013-09-24,1373.99474100,2.47184038
2013-09-25,1375.84347700,2.46989822
2013-09-26,1377.48994800,2.36675668
2013-09-27,1379.10203100,2.4021523
2013-09-28,1380.83615200,2.39180756
2013-09-29,1382.81115000,2.26631999
2013-09-30,1384.45025700,2.29863405
2013-10-01,1386.10741800,2.34312868
2013-10-02,1388.09647000,2.42047644
2013-10-03,1391.11788600,1.97769594
2013-10-04,1393.08917400,2.17695236
2013-10-05,1395.04224800,2.19185519
2013-10-06,1397.48131100,2.13334322
2013-10-07,1399.29908200,2.17442393
2013-10-08,1401.21630300,2.09501219
2013-10-09,1403.43103700,1.98087895
2013-10-10,1406.63770100,1.93130255
2013-10-11,1409.14799800,2.02531743
2013-10-12,1411.17549300,2.0682199
2013-10-13,1412.60402600,2.12248302
2013-10-14,1414.60021000,2.14893603
2013-10-15,1416.72866400,2.05524206
2013-10-16,1420.66452500,1.97210097
2013-10-17,1422.77305600,1.91683865
2013-10-18,1425.07115200,1.91598332
2013-10-19,1429.21003300,1.90522015
2013-10-20,1431.58643400,1.86937737
2013-10-21,1434.54699000,1.93154001
2013-10-22,1438.11214400,1.82102048
2013-10-23,1440.84107800,1.69963443
2013-10-24,1443.70696900,2.0573101
2013-10-25,1446.60465200,2.29320407
2013-10-26,1448.31279900,2.16129851
2013-10-27,1450.09571900,2.20396805
2013-10-28,1451.66260000,2.12691641
2013-10-29,1453.39971000,2.17213702
2013-10-30,1455.31522200,2.12974381
2013-10-31,1457.05453500,2.27834201
2013-11-01,1459.19689600,2.34485006
2013-11-02,1461.34421000,2.4594295
2013-11-03,1467.12300800,2.71700811
2013-11-04,1471.67133900,2.9000566
2013-11-05,1475.45414600,3.08287454
2013-11-06,1478.66618200,3.04261541
2013-11-07,1487.89430700,3.35997128
2013-11-08,1495.80964000,4.37839508
2013-11-09,1502.01181500,4.60807371
2013-11-10,1506.14651800,4.3358326
2013-11-11,1510.39810800,3.91142821
2013-11-12,1514.77851400,4.01380205
2013-11-13,1521.93082100,4.01759624
2013-11-14,1527.52159800,4.10880518
2013-11-15,1531.97262700,4.27378798
2013-11-16,1535.02092000,4.19366407
2013-11-17,1539.11287000,4.33022738
2013-11-18,1545.73591400,4.12657976
2013-11-19,1559.61344800,9.42268753
2013-11-20,1565.18828400,7.96456432
2013-11-21,1569.19642300,8.0114336
2013-11-22,1573.41657600,9.36222553
2013-11-23,1578.80240100,10.11698723
2013-11-24,1582.75979900,10.58983517
2013-11-25,1586.52018400,10.31981659
2013-11-26,1596.33360800,12.3760128
2013-11-27,1608.16633600,19.90896797
2013-11-28,1621.58085600,38.99134827
2013-11-29,1631.26703300,44.36878586
2013-11-30,1638.95985200,36.94169235
2013-12-01,1645.21353800,40.57338333
2013-12-02,1651.88917800,34.46994781
2013-12-03,1657.68506200,33.34876633
2013-12-04,1664.11243800,39.32089233
2013-12-05,1670.83379100,44.52996063
2013-12-06,1675.49431800,37.46313858
2013-12-07,1681.73229400,29.73739243
2013-12-08,1686.53414500,23.17858505
2013-12-09,1692.24216100,27.21146393
2013-12-10,1697.94896100,31.49889565
2013-12-11,1704.42786500,36.28897858
2013-12-12,1709.69824400,31.23275566
2013-12-13,1715.34842600,31.64802742
2013-12-14,1721.29200800,31.44975662
2013-12-15,1726.30391400,30.46009254
2013-12-16,1732.61079100,31.39256859
2013-12-17,1741.54035200,24.43333817
2013-12-18,1748.84715900,21.85160446
2013-12-19,1754.81917400,13.42808247
2013-12-20,1760.39142200,19.85469246
2013-12-21,1764.82021000,17.30760765
2013-12-22,1768.45154000,16.60310936
2013-12-23,1773.00742700,16.73653793
2013-12-24,1777.52878000,17.81081581
2013-12-25,1782.80503800,17.65055275
2013-12-26,1789.52739100,21.64670181
2013-12-27,1795.66490100,24.80660057
2013-12-28,1800.23847100,23.19471169
2013-12-29,1804.65682400,22.56226921
2013-12-30,1810.51053700,23.89371109
2013-12-31,1815.34676400,24.5051136
2014-01-01,1819.59662500,24.34778214
2014-01-02,1824.68955700,24.70367432
2014-01-03,1830.98669500,25.66711426
2014-01-04,1836.39916400,24.81335831
2014-01-05,1841.79786200,25.03531837
2014-01-06,1851.62117000,26.91143799
2014-01-07,1858.52649800,29.24417877
2014-01-08,1864.68649900,22.84491348
2014-01-09,1869.92838200,24.48677635
2014-01-10,1874.54192800,24.45240784
2014-01-11,1880.36668800,24.9874897
2014-01-12,1885.19103100,27.05463219
2014-01-13,1890.09323200,25.13475227
2014-01-14,1895.13545200,24.28329659
2014-01-15,1900.25958600,24.10216141
2014-01-16,1905.60351000,25.26671791
2014-01-17,1910.03361200,24.4004879
2014-01-18,1914.58129500,23.81292343
2014-01-19,1919.30559700,24.56005478
2014-01-20,1925.69764300,25.42716026
2014-01-21,1932.02658800,25.20245743
2014-01-22,1937.89853800,24.8455658
2014-01-23,1943.21787000,23.64751625
2014-01-24,1949.54368600,22.29607773
2014-01-25,1954.57005100,20.70223999
2014-01-26,1960.29967600,23.203022
2014-01-27,1966.54230500,24.13188744
2014-01-28,1972.73470500,20.12451935
2014-01-29,1978.40787200,21.42344284
2014-01-30,1984.69774000,21.91431046
2014-01-31,1990.41228700,21.64747429
2014-02-01,1995.58617500,22.09902954
2014-02-02,2000.69271100,22.5049572
2014-02-03,2005.62717500,22.37377167
2014-02-04,2012.28343900,21.89580727
2014-02-05,2018.89686900,21.52528
2014-02-06,2025.43005800,20.85820961
2014-02-07,2031.71356900,19.90085983
2014-02-08,2036.97600800,18.53008842
2014-02-09,2042.85171800,18.02235031
2014-02-10,2049.41402300,18.29627991
2014-02-11,2055.83250100,17.7591095
2014-02-12,2062.80598000,17.40956879
2014-02-13,2068.57809100,16.92671585
2014-02-14,2075.14205800,15.36582565
2014-02-15,2080.71678300,16.45173836
2014-02-16,2085.98808200,16.0914669
2014-02-17,2091.77976900,15.1361475
2014-02-18,2097.01347800,15.47172737
2014-02-19,2102.05291900,15.5575037
2014-02-20,2107.57294300,15.70151424
