Date,YF_Op,YF_Hi,YF_Lo,YF_Cls,YF_Vol,OL_MktCap,OL_BlkSz,OL_AvgComPwr,OL_AvgTransFee,OL_MinDif,OL_ActAdd,OL_NewAdd,OL_ChnTrans,BIC_HshRt,D_AvgPrc
2021-02-09,167.2139892578125,183.6444854736328,164.6878204345703,182.11447143554688,10156352233,11299364970.075,0.09124119,294.91300452,0.0002455113817447,10.33204453,223062.0,102617.0,88106.0,297905746016630.0,174.41519165039062
2021-02-10,181.98745727539065,194.1829833984375,172.2554473876953,182.1743927001953,12820808289,11801288980.65,0.09404261,295.99281504,0.0002521880879613,10.33204453,217810.0,104438.0,100385.0,300794962558290.0,182.6500701904297
2021-02-11,182.062744140625,192.5048828125,176.55453491210938,184.4960021972656,9278994121,12665570940.75,0.09891563,283.42456674,0.0002150522907539,10.33204453,204587.0,93949.0,87194.0,278071712559160.0,183.904541015625
2021-02-12,184.3871459960937,199.4168701171875,178.12335205078125,197.2317047119141,10839370443,12379038093.9,0.08162766,291.23575607,0.0002247726162764,10.33204453,209419.0,99993.0,88496.0,299311054583240.0,189.78976821899414
2021-02-13,197.2343292236328,228.38446044921875,192.91964721679688,226.22760009765625,16565513036,14412395736.9,0.08949221,304.90554031,0.0002203040433669,10.21076199,216703.0,105730.0,92559.0,302726638903270.0,211.19150924682617
2021-02-14,226.285873413086,229.2051544189453,210.10166931152344,214.4302673339844,12902511399,14256721052.1,0.08634848,300.92969292,0.0002134306239562,10.21076199,212280.0,98827.0,92218.0,306397401976930.0,220.00574111938477
2021-02-15,214.3249969482422,219.6385040283203,192.12124633789065,207.68101501464844,13482646966,14187408927.5,0.08541649,289.53440467,0.0002103957832555,10.21076199,199689.0,87651.0,84219.0,286289603660410.0,208.4414405822754
2021-02-16,207.6104431152344,221.0515899658203,201.2959899902344,210.54656982421875,12666436004,14130375470.75,0.08354396,288.30512263,0.000222882963957,10.25437737,181230.0,82860.0,87923.0,291240720174490.0,210.12614822387695
2021-02-17,210.56903076171875,236.97352600097656,204.2429351806641,236.97352600097656,13792789978,15346560666.1875,0.0873493,294.20623777,0.0002102648227322,10.25437737,209698.0,88664.0,95195.0,293773464157870.0,222.18975448608398
2021-02-18,236.94924926757807,238.1966094970703,221.5928955078125,226.8695526123047,7889078633,15111921751.475,0.10884556,298.41520867,0.0002016413887538,10.25437737,250038.0,115925.0,100817.0,295683844153940.0,230.9020767211914
2021-02-19,226.8992919921875,241.16128540039065,220.956771850586,236.676010131836,7151082978,15549970448.425,0.10749581,302.08235074,0.0002032450881486,10.25437737,260365.0,108758.0,98470.0,300106896005100.0,231.42333984375
2021-02-20,236.6549072265625,245.95751953125,216.64166259765625,227.6198883056641,8208699025,15627882383.85,0.10212336,301.96782253,0.0001883750230769,10.42471651,250002.0,108455.0,103783.0,302219634862680.0,231.7184944152832
2021-02-21,227.5196228027344,233.1479949951172,220.98374938964844,227.2313537597656,6934669818,15459256133.2125,0.09902866,281.72280646,0.0001893911780602,10.42471651,225116.0,93757.0,92508.0,269820465367820.0,227.2206802368164
