Date,YF_Op,YF_Hi,YF_Lo,YF_Cls,YF_Vol,ES_AvgTransFee,ES_AvgGasPrc,ES_BlkCnt,ES_BlkSz,ES_BlkTm,ES_ActAdd,ES_DepCon,ES_GasLmt,ES_GasUsd,ES_VerCon,OL_MktCap,OL_NewAdd,OL_ChnTrans,OL_ChnVol,D_AvgPrc
2021-10-21,4161.71337890625,4366.08837890625,4032.48388671875,4054.32275390625,28220661820,31.95,100283479294,6487,72323,13.13,573318,9420,30018223,100112401015,300,489466216983.261,146966.0,1295430,4644370.288760743,4153.652099609375
2021-10-22,4055.6865234375,4162.9755859375,3908.34033203125,3970.181884765625,19432937968,28.61,91861894977,6411,73171,13.28,555943,10282,30018828,99057211828,261,485729082443.99976,130960.0,1244324,4252723.502968936,4024.2960815429688
2021-10-23,3971.3564453125,4171.66357421875,3944.6318359375,4171.66357421875,14781537792,22.94,71610688632,6348,72292,13.43,569952,10193,30025215,98120356350,191,472121964796.6753,126226.0,1239041,2269321.230615712,4064.828857421875
2021-10-24,4171.85595703125,4185.7294921875,3967.120361328125,4087.903076171875,14978083638,24.74,80106768615,6359,71576,13.39,557074,9190,30024837,98235649057,152,480949590759.1072,143724.0,1265737,1965191.0347542628,4103.1522216796875
2021-10-25,4084.42578125,4236.6669921875,4072.03466796875,4217.876953125,15995727040,33.17,104406968417,6418,71494,13.31,558944,8204,30024936,99167904953,235,487431905480.40594,145903.0,1271809,2137339.1877434747,4152.7510986328125
2021-10-26,4217.337890625,4289.13134765625,4106.82373046875,4131.10205078125,17157714562,39.35,131867465257,6414,69813,13.33,577711,7727,30025475,99081985112,286,493262030712.4145,165389.0,1355079,2697769.630207269,4186.0987548828125
2021-10-27,4132.17333984375,4299.15283203125,3930.25732421875,3930.25732421875,26219530404,49.15,177194359917,6345,69414,13.48,581064,10210,30026493,97983958255,229,486792109653.6575,174766.0,1340460,6291641.591701832,4072.960205078125
2021-10-28,3924.8154296875,4293.15087890625,3905.7060546875,4287.31884765625,25958154575,54.43,198025656236,6408,67422,13.34,662650,7077,30025138,98966629712,277,471586637761.7982,224707.0,1447105,3531784.817642689,4102.747802734375
2021-10-29,4288.6865234375,4455.7353515625,4271.70751953125,4414.74658203125,22967641914,53.6,183858697954,6368,64129,13.37,676233,9624,30021805,98347489308,267,505763297822.39966,216959.0,1486238,6181756.13682373,4357.718994140625
2021-10-30,4414.24365234375,4426.8486328125,4252.494140625,4325.650390625,14615490626,51.31,171249056720,6345,62412,13.42,618415,7718,29997753,98002210468,310,510961217825.2079,219102.0,1403841,4043673.432730129,4354.8092041015625
2021-10-31,4322.744140625,4394.44970703125,4179.01611328125,4288.07421875,17498160238,49.23,157063157000,6317,63743,13.46,582522,14929,29995746,97551234641,227,506950797781.10565,190371.0,1344840,3657197.206887984,4296.071044921875
2021-11-01,4288.21728515625,4377.322265625,4160.966796875,4324.626953125,17985288261,51.79,166950788377,6423,65442,13.3,610965,8836,29997021,99188257225,299,505116091781.6741,175322.0,1307476,2357390.7149934955,4287.7833251953125
2021-11-02,4322.5009765625,4599.9482421875,4288.6865234375,4584.798828125,20794448222,58.11,184006933473,6308,65874,13.52,639463,9427,29996842,97381906892,234,510331395588.859,190035.0,1380113,3203356.813015361,4448.983642578125
2021-11-03,4589.6845703125,4664.91015625,4462.97607421875,4607.19384765625,21220463155,53.46,170817312612,6385,65290,13.36,657732,11068,29997751,98615686109,285,541590951886.8164,200398.0,1422881,3927106.126056133,4581.191162109375
2021-11-04,4604.6787109375,4606.51611328125,4426.62255859375,4537.32421875,18415244464,48.53,153495227020,6282,64494,13.61,625036,15221,29996355,96926416150,242,531306949000.3651,191346.0,1378253,3771152.583768205,4543.785400390625
2021-11-05,4537.42333984375,4570.89599609375,4447.4873046875,4486.2431640625,15086003586,45.8,141359554777,6446,63036,13.23,605162,22563,29995517,99426765719,284,532372423496.1079,178562.0,1338763,3240861.4465165497,4510.512451171875
2021-11-06,4482.64794921875,4530.9970703125,4334.9736328125,4521.5810546875,14429076700,42.15,118059207900,6339,62972,13.44,579696,14624,29995621,97806887177,219,525327403748.72144,168852.0,1286208,2367038.955014336,4467.5499267578125
2021-11-07,4523.98193359375,4640.921875,4510.984375,4620.5546875,13541376033,36.58,104335277598,6452,63396,13.22,594408,11127,29995676,99639707191,202,533968169880.9316,160414.0,1254858,1690205.5754481172,4574.1107177734375
2021-11-08,4619.6494140625,4822.36328125,4619.6494140625,4812.08740234375,19290896267,46.68,133382892833,6346,63553,13.46,618388,10754,29994897,98044586198,247,555875664185.0444,170450.0,1323913,2450800.6484427103,4718.4373779296875
2021-11-09,4810.0712890625,4837.58935546875,4718.0390625,4735.06884765625,20834172627,62.11,181380119178,6372,67096,13.42,586879,9476,29996331,98253505445,327,562491141568.2549,163534.0,1332332,3000893.4078703746,4775.192138671875
2021-11-10,4733.36279296875,4859.5029296875,4485.09326171875,4636.17431640625,22748160545,56.67,173899759514,6382,68129,13.32,635243,9599,29995528,98479436388,244,554528533148.4078,168644.0,1363610,2686525.389045745,4678.5333251953125
