Date,Open,High,Low,Close,Adj Close,Volume,Transaction Count,Block Size,Difficulty,Hash Rate,Active Addresses
23/05/2018,128.8079987,129.3320007,117.3499985,119.314003,119.314003,373329984,34215,31284,10659804,324693048900110,114628
24/05/2018,119.1949997,124.3710022,115.8899994,122.612999,122.612999,345857984,31260,27357,10926181,342883696551720,99028
25/05/2018,122.5589981,124.2020035,117.8209991,119.4420013,119.4420013,297743008,27911,28808,11307953,318053468747770,94570
26/05/2018,119.3499985,122.2509995,117.8679962,118.2770004,118.2770004,275851008,22351,29773,11307953,310316327953480,102116
27/05/2018,118.5039978,118.8479996,116.9860001,117.9919968,117.9919968,258727008,21214,33532,11307953,312342427634090,88422
28/05/2018,117.9300003,119.0830002,111.4759979,111.5979996,111.5979996,295723008,25213,27656,10998742,312053443800890,91679
29/05/2018,111.8440018,121.9629974,110.9029999,119.5680008,119.5680008,350520000,26702,28800,10923292,311213024588530,94629
30/05/2018,119.5400009,122.3759995,116.0169983,117.5329971,117.5329971,305275008,25487,32235,10923292,295109100838530,91988
31/05/2018,117.3180008,120.5940018,116.6380005,118.0739975,118.0739975,297183008,26334,28850,10849156,284733156039220,87555
01/06/2018,118.0279999,120.1959991,117.1159973,119.9150009,119.9150009,290886016,25487,26569,10450677,295075804098170,86546
02/06/2018,119.8280029,123.8939972,118.9550018,123.3069992,123.3069992,310800000,22879,26504,10450677,293402107614810,81423
03/06/2018,123.2850037,127.3679962,122.3659973,125.5,125.5,322787008,22155,22365,10450677,289647218440630,82059
04/06/2018,125.2109985,126.3259964,118.7279968,119.9029999,119.9029999,299780992,24326,26985,10268647,287819584444710,92776
05/06/2018,119.8960037,122.0059967,116.4420013,121.7009964,121.7009964,300892000,25172,21454,10120348,308819775749670,85852
06/06/2018,121.8880005,122.1380005,118.5559998,121.1829987,121.1829987,324158016,25346,21081,10120348,320986798529730,83346
07/06/2018,121.3389969,123.1780014,119.6210022,121.4260025,121.4260025,365670016,24254,22189,10386506,329642553071650,83544
08/06/2018,121.5159988,121.9459991,118.7050018,120.0839996,120.0839996,285831008,24566,23552,10956273,330960277583620,83846
09/06/2018,120.1080017,121.0250015,117.7409973,117.7409973,117.7409973,242235008,20786,19741,10956273,305977013425100,75584
10/06/2018,117.5619965,117.5619965,104.0820007,107.0439987,107.0439987,399889984,25391,33306,10956273,323943213052000,81846
11/06/2018,106.5410004,108.8470001,104.1240005,107.5159988,107.5159988,331430016,26587,25913,10963691,302337685499320,85902
12/06/2018,107.4280014,108.0579987,99.37460327,100.7519989,100.7519989,333163008,26358,25735,10965233,316114854071570,83915
13/06/2018,100.7990036,100.947998,91.28849792,94.07559967,94.07559967,360492992,27843,29562,10965233,329273160085980,87799
14/06/2018,93.99369812,102.4169998,93.61160278,101.1539993,101.1539993,367742016,26120,29539,10977565,307900370664130,86838
15/06/2018,101.1149979,101.1149979,95.59950256,96.6760025,96.6760025,293284992,23315,26801,11003972,298769646418620,82151
16/06/2018,96.57839966,98.3463974,93.97059631,97.57700348,97.57700348,259324992,19810,19394,11003972,297223137103020,72807
17/06/2018,97.71759796,98.65720367,95.53299713,96.1026001,96.1026001,242331008,18680,17931,11003972,319153400234450,71521
18/06/2018,95.77349854,99.81340027,93.91000366,98.81900024,98.81900024,282937984,22327,24972,10769776,303353641211240,78742
19/06/2018,98.72730255,100.8199997,97.39830017,98.83769989,98.83769989,284982016,23667,23819,10684873,302694185539290,79602
20/06/2018,98.95629883,99.20459747,95.96710205,97.99349976,97.99349976,261392000,23108,22638,10684873,299998753925410,78536
21/06/2018,97.8812027,98.86949921,96.36489868,96.92549896,96.92549896,261544000,24046,24555,10661165,302495690837830,81100
22/06/2018,96.94110107,97.123703,81.39589691,85.07589722,85.07589722,458636992,27225,28400,10554914,309680928138590,84232
23/06/2018,85.09300232,86.36119843,81.64299774,82.60369873,82.60369873,439203008,21577,20804,10554914,298176708368350,64786
24/06/2018,82.7390976,83.38860321,74.2881012,80.77709961,80.77709961,449884992,23255,22425,10554914,292300122938220,76540
25/06/2018,80.36660004,86.07289886,79.02050018,81.83339691,81.83339691,458366016,23049,22750,10493532,303904120356290,78161
26/06/2018,81.81520081,82.49780273,76.85369873,76.86669922,76.86669922,258432992,23372,23306,10457237,295531732768380,75676
