Date,Open,High,Low,Close,Adj Close,Volume,BTC total supply,BTC market cap,BTC average daily block size,BTC average computing power of the entire network,BTC average daily transaction fee,BTC mining difficulty,BTC number of daily active addresses,Number of new addresses added per day on BTC,BTC total addresses,BTC number of daily transactions on the chain,BTC full node data size,BTC daily transaction volume on the chain
2019-04-03,4879.9580078125,5307.00341796875,4876.62109375,4973.02197265625,4973.02197265625,22899891582,17625600.0,87652493306.34163,1230692.298013245,4.556843974153262e+19,0.0003579855565064436,6379265451411.053,872568.0,446455,495781841,379762,211881.811103,1233895.65704474
2019-04-04,4971.3076171875,5063.15966796875,4836.7939453125,4922.798828125,4922.798828125,18251810240,17627325.0,86775774141.80408,1223304.1376811594,4.549570186630316e+19,0.0004473181529220229,6379265451411.053,816978.0,418131,496199972,348269,212050.627074,1006309.82368049
2019-04-05,4922.80615234375,5053.509765625,4919.49169921875,5036.68115234375,5036.68115234375,16837325387,17629337.5,88793350993.71048,1240715.298136646,4.592014172705776e+19,0.0003371010503084704,6379265451411.053,916076.0,431506,496631478,397607,212250.382237,899591.06870263
2019-04-06,5036.79296875,5205.82177734375,4992.22216796875,5059.8173828125,5059.8173828125,16929795194,17631150.0,89210395814.02989,1197755.4827586208,4.591830940142484e+19,0.00021562080610917613,6379265451411.053,680454.0,339775,496971253,372096,212424.056782,548467.43626458
2019-04-07,5062.7939453125,5235.1865234375,5050.412109375,5198.89697265625,5198.89697265625,16655416140,17632662.5,91670395999.40443,1196516.5123966942,4.544685429665016e+19,0.00026899814296004734,6393023717201.863,613273.0,295431,497266684,310968,212568.83528,644720.48190351
2019-04-08,5199.83544921875,5318.83642578125,5148.2119140625,5289.77099609375,5289.77099609375,17154113634,17634525.0,93282599656.03346,1174869.0738255037,4.574446925580987e+19,0.0003152998458303949,6393023717201.863,727592.0,363508,497630192,377182,212743.890772,792651.96109236
2019-04-09,5289.91796875,5289.91796875,5167.4189453125,5204.95849609375,5204.95849609375,14722104361,17636387.5,91796662884.06856,1237548.845637584,4.591280881183961e+19,0.0003198252356380052,6393023717201.863,809917.0,415668,498045860,376149,212928.28555,784182.16202751
2019-04-10,5204.10546875,5421.6513671875,5193.38232421875,5324.5517578125,5324.5517578125,15504590933,17638125.0,93915111429.1142,1240437.1582733812,4.548986349495365e+19,0.000315258092424864,6393023717201.863,778727.0,402955,498448815,370528,213100.706315,981961.06906257
2019-04-11,5325.08154296875,5354.2255859375,5017.29638671875,5064.48779296875,5064.48779296875,16555616019,17640062.5,89337879072.14473,1192694.735483871,4.637107657782352e+19,0.0002811414225572841,6393023717201.863,799866.0,435939,498884754,400722,213285.573999,1014693.25680273
2019-04-12,5061.20068359375,5103.2744140625,4955.8525390625,5089.5390625,5089.5390625,13675206312,17641975.0,89789518247.20761,1217506.725490196,4.583388304298619e+19,0.0002796941100075807,6393023717201.863,782448.0,386014,499270768,390464,213471.852528,822980.93442859
2019-04-13,5088.85009765625,5127.1220703125,5061.58935546875,5096.58642578125,5096.58642578125,10823289598,17643687.5,89922580630.03658,1101946.8394160585,4.552803352208033e+19,0.0002227281685120032,6393023717201.863,648879.0,340270,499611038,344201,213622.819245,626592.20120657
2019-04-14,5095.7587890625,5184.01611328125,5053.568359375,5167.72216796875,5167.72216796875,10391952498,17645350.0,91186269865.7202,1145201.5939849624,4.614323610792188e+19,0.00013940953696400495,6393023717201.863,551222.0,292299,499903337,382886,213775.131057,551069.08296183
2019-04-15,5167.32177734375,5196.60693359375,5024.0693359375,5067.1083984375,5067.1083984375,12290155061,17646937.5,89418946516.04564,1244996.4330708662,4.520407511117374e+19,0.00021658306680742863,6393023717201.863,710961.0,356606,500259943,336265,213933.245604,705647.67011464
2019-04-16,5066.57763671875,5238.9453125,5055.19482421875,5235.5595703125,5235.5595703125,11618660197,17648812.5,92401406517.30452,1225031.4066666667,4.514015663522331e+19,0.00019912370494647337,6393023717201.863,753892.0,389591,500649534,385042,214117.000315,754971.9106249401
