Date,Open,High,Low,Close,Adj Close,Volume,Transactions,Block Size,Difficulty,Hashrate,Active Addressses
2018-02-20,11231.7998046875,11958.5,11231.7998046875,11403.7001953125,11403.7001953125,9926540288,198314.0,917160.0,2967853337745.0,2.1116350680618e+19,610136.0
2018-02-21,11372.2001953125,11418.5,10479.099609375,10690.400390625,10690.400390625,9405339648,205032.0,905555.0,3007383866430.0,2.4813516968633e+19,615201.0
2018-02-22,10660.400390625,11039.099609375,9939.08984375,10005.0,10005.0,8040079872,183086.0,840932.0,3007383866430.0,2.42913853439e+19,633718.0
2018-02-23,9937.0703125,10487.2998046875,9734.5595703125,10301.099609375,10301.099609375,7739500032,185045.0,921250.0,3007383866430.0,2.1955367791169e+19,643584.0
2018-02-24,10287.7001953125,10597.2001953125,9546.9697265625,9813.0703125,9813.0703125,6917929984,154389.0,965935.0,3007383866430.0,2.1027363617047e+19,627718.0
2018-02-25,9796.419921875,9923.2197265625,9407.0595703125,9664.73046875,9664.73046875,5706939904,144698.0,660554.0,3007383866430.0,2.4306268031908e+19,443104.0
2018-02-26,9669.4296875,10475.0,9501.73046875,10366.7001953125,10366.7001953125,7287690240,186333.0,908912.0,3007383866430.0,2.2182150828854e+19,517139.0
2018-02-27,10393.900390625,10878.5,10246.099609375,10725.599609375,10725.599609375,6966179840,219464.0,916653.0,3007383866430.0,2.3576969475581e+19,594737.0
2018-02-28,10687.2001953125,11089.7998046875,10393.099609375,10397.900390625,10397.900390625,6936189952,189068.0,920691.0,3007383866430.0,2.4900731181445e+19,680281.0
2018-03-01,10385.0,11052.2998046875,10352.7001953125,10951.0,10951.0,7317279744,233579.0,915244.0,3007383866430.0,2.2442878748396e+19,692152.0
2018-03-02,10977.400390625,11189.0,10850.099609375,11086.400390625,11086.400390625,7620590080,194917.0,748187.0,3007383866430.0,2.4158134090195e+19,595877.0
2018-03-03,11101.900390625,11528.2001953125,11002.400390625,11489.7001953125,11489.7001953125,6690570240,176844.0,897100.0,3007383866430.0,2.5219329806152e+19,754220.0
2018-03-04,11497.400390625,11512.599609375,11136.099609375,11512.599609375,11512.599609375,6084149760,160083.0,907250.0,3007383866430.0,2.4194695662757e+19,651221.0
2018-03-05,11532.400390625,11704.099609375,11443.900390625,11573.2998046875,11573.2998046875,6468539904,201289.0,902413.0,3233581400367.0,2.501474461577e+19,661842.0
2018-03-06,11500.099609375,11500.099609375,10694.2998046875,10779.900390625,10779.900390625,6832169984,205860.0,920991.0,3290605988755.0,2.4572333276152e+19,706253.0
2018-03-07,10803.900390625,10929.5,9692.1201171875,9965.5703125,9965.5703125,8797910016,213821.0,907635.0,3290605988755.0,2.6404314260397e+19,771278.0
2018-03-08,9951.4404296875,10147.400390625,9335.8701171875,9395.009765625,9395.009765625,7186089984,196260.0,911747.0,3290605988755.0,2.5419294687284e+19,762458.0
2018-03-09,9414.6904296875,9466.349609375,8513.0302734375,9337.5498046875,9337.5498046875,8704190464,198034.0,903812.0,3290605988755.0,2.5936622060156e+19,710720.0
2018-03-10,9350.58984375,9531.3203125,8828.4697265625,8866.0,8866.0,5386319872,156088.0,902103.0,3290605988755.0,2.3412150793173e+19,636583.0
2018-03-11,8852.7802734375,9711.8896484375,8607.1201171875,9578.6298828125,9578.6298828125,6296370176,150731.0,917527.0,3290605988755.0,2.2432247992701e+19,684854.0
2018-03-12,9602.9296875,9937.5,8956.4296875,9205.1201171875,9205.1201171875,6457399808,188233.0,834110.0,3290605988755.0,2.6949796287723e+19,737014.0
