Time,BTC full node data size,Price
2010-05-31,16.025323,null
2010-06-01,16.074345,null
2010-06-02,16.118217,null
2010-06-03,16.175434,null
2010-06-04,16.227485,null
2010-06-05,16.268626,null
2010-06-06,16.316643,null
2010-06-07,16.379465,null
2010-06-08,16.445229,null
2010-06-09,16.49887,null
2010-06-10,16.553506,null
2010-06-11,16.612534,null
2010-06-12,16.669486,null
2010-06-13,16.723195,null
2010-06-14,16.792813,null
2010-06-15,16.865779,null
2010-06-16,16.91852,null
2010-06-17,16.973389,null
2010-06-18,17.018766,null
2010-06-19,17.090796,null
2010-06-20,17.145642,null
2010-06-21,17.20563,null
2010-06-22,17.268721,null
2010-06-23,17.32652,null
2010-06-24,17.394171,null
2010-06-25,17.450299,null
2010-06-26,17.494869,null
2010-06-27,17.546014,null
2010-06-28,17.596538,null
2010-06-29,17.671121,null
2010-06-30,17.783719,null
2010-07-01,17.951858,null
2010-07-02,18.021966,null
2010-07-03,18.148245,null
2010-07-04,18.208859,null
2010-07-05,18.29154,null
2010-07-06,18.351464,null
2010-07-07,18.417386,null
2010-07-08,18.468576,null
2010-07-09,18.530202,null
2010-07-10,18.596149,null
2010-07-11,18.65988,null
2010-07-12,19.065479,null
2010-07-13,19.549822,null
2010-07-14,20.256943,null
2010-07-15,21.650124,null
2010-07-16,22.077647,null
2010-07-17,22.238701,0.049510000000000005
2010-07-18,22.375492,0.08584
2010-07-19,22.532264,0.0808
2010-07-20,22.733019,0.07473333333333332
2010-07-21,22.861915,0.07921
2010-07-22,22.971959,0.055945
2010-07-23,23.0734,0.062283333333333336
2010-07-24,23.178345,0.05454
2010-07-25,24.091227,0.0505
2010-07-26,24.226766,0.056
2010-07-27,24.462639,0.059844444444444436
2010-07-28,24.590115,0.0589
2010-07-29,25.44482,0.06920000000000001
2010-07-30,25.561654,0.06428333333333333
2010-07-31,25.676809,0.06785
2010-08-01,25.766977,0.0611
2010-08-02,25.87401,0.06
2010-08-03,26.024652,0.06
2010-08-04,26.16148,0.05795
2010-08-05,26.378707,0.061
2010-08-06,26.499669,0.0621
2010-08-07,26.596632,0.059
2010-08-08,26.694581,0.0609
2010-08-09,26.799846,0.071
2010-08-10,27.092871,0.07
2010-08-11,27.198905,0.067
2010-08-12,27.302616,0.07
2010-08-13,27.470765,0.0645
2010-08-14,27.584704,0.067
2010-08-15,27.737555,0.06529
2010-08-16,27.817513,0.0655
2010-08-17,27.946462,0.07
2010-08-18,28.20244,0.068
2010-08-19,28.308423,0.0667
2010-08-20,28.416378,0.0655
2010-08-21,28.519851,0.0664
2010-08-22,28.61385,0.066
2010-08-23,28.719013,0.06491
2010-08-24,28.808882,0.065
2010-08-25,28.98599,0.0648
2010-08-26,29.084989,0.064
2010-08-27,29.188598,0.065
2010-08-28,29.285225,0.0646
2010-08-29,29.362623,0.064
2010-08-30,29.452373,0.06497
2010-08-31,29.628498,0.06
2010-09-01,29.784648,0.062300000000000015
2010-09-02,29.876019,0.0631
2010-09-03,29.957402,0.06085
2010-09-04,30.031239,0.06238
2010-09-05,30.124944,0.0616
2010-09-06,30.206374,0.0616
2010-09-07,30.278275,0.061505
2010-09-08,30.358706,0.061495
2010-09-09,30.46632,0.06111000000000001
2010-09-10,30.569866,0.0618
2010-09-11,30.648752,0.06366000000000001
2010-09-12,30.748051,0.0615
2010-09-13,30.890336,0.062179999999999985
2010-09-14,31.012894,0.06199
2010-09-15,31.153213,0.0604
2010-09-16,31.257258,0.0618
2010-09-17,31.354755,0.05938
2010-09-18,31.529751,0.061
2010-09-19,31.626068,0.0627
2010-09-20,31.752291,0.0621
2010-09-21,31.922686,0.06265
2010-09-22,32.215565,0.062038
2010-09-23,32.430872,0.06231
2010-09-24,32.590508,0.0622
2010-09-25,32.705215,0.06202000000000001
2010-09-26,32.859675,0.06219
2010-09-27,33.059759,0.0622
2010-09-28,33.236493,0.061904999999999995
2010-09-29,33.680538,0.06183
2010-09-30,33.815488,0.0619
2010-10-01,33.983414,0.06197
2010-10-02,34.143512,0.0614
2010-10-03,34.287875,0.06111000000000001
2010-10-04,34.421209,0.06129
2010-10-05,34.54306,0.0614
2010-10-06,34.667048,0.06297666666666668
2010-10-07,34.789832,0.067
2010-10-08,34.892615,0.084925
2010-10-09,35.046705,0.0938
2010-10-10,35.162718,0.0965
2010-10-11,35.270943,0.095
2010-10-12,35.388611,0.0949
2010-10-13,35.501638,0.105
2010-10-14,35.651601,0.102
2010-10-15,35.74228,0.105
2010-10-16,35.863066,0.101
2010-10-17,36.029769,0.102
2010-10-18,36.179063,0.1024
2010-10-19,36.486167,0.09715
2010-10-20,36.730375,0.099
2010-10-21,36.912232,0.107
2010-10-22,37.073793,0.106
2010-10-23,37.276159,0.104995
2010-10-24,37.40248,0.11501
2010-10-25,37.542525,0.132
2010-10-26,37.703618,0.1503
2010-10-27,37.888063,0.1877
2010-10-28,38.048013,0.1731
2010-10-29,38.199427,0.19
2010-10-30,38.355678,0.1989
2010-10-31,38.444733,0.1925
2010-11-01,38.555636,0.1955
2010-11-02,38.645103,0.1938
2010-11-03,38.732965,0.1931
2010-11-04,38.82119,0.23
2010-11-05,38.953262,0.2639
2010-11-06,39.089777,0.38
2010-11-07,39.223268,0.34
2010-11-08,39.361314,0.243
2010-11-09,39.580904,0.21
2010-11-10,39.683266,0.2362
2010-11-11,39.808617,0.2231
2010-11-12,39.888023,0.2682
2010-11-13,39.9816,0.276
2010-11-14,40.097893,0.27904
2010-11-15,40.310659,0.2682
2010-11-16,43.906299,0.225
