Time,BTC average daily block size,Price
2009-09-24,215.5921052631579,null
2009-09-25,238.44117647058823,null
2009-09-26,223.62222222222223,null
2009-09-27,235.61702127659575,null
2009-09-28,215.96511627906978,null
2009-09-29,274.5764705882353,null
2009-09-30,215.80722891566265,null
2009-10-01,215.89285714285714,null
2009-10-02,229.98809523809524,null
2009-10-03,215.47169811320754,null
2009-10-04,215.53731343283582,null
2009-10-05,215.75,null
2009-10-06,256.30434782608694,null
2009-10-07,215.73469387755102,null
2009-10-08,215.52238805970148,null
2009-10-09,215.5921052631579,null
2009-10-10,215.7594936708861,null
2009-10-11,215.77777777777777,null
2009-10-12,354.8225806451613,null
2009-10-13,215.80769230769232,null
2009-10-14,215.77586206896552,null
2009-10-15,215.36708860759492,null
2009-10-16,351.92753623188406,null
2009-10-17,215.88888888888889,null
2009-10-18,228.84375,null
2009-10-19,215.49,null
2009-10-20,215.53636363636363,null
2009-10-21,353.98809523809524,null
2009-10-22,295.81176470588235,null
2009-10-23,215.46428571428572,null
2009-10-24,215.5,null
2009-10-25,228.5142857142857,null
2009-10-26,215.77611940298507,null
2009-10-27,244.08823529411765,null
2009-10-28,215.6451612903226,null
2009-10-29,237.7037037037037,null
2009-10-30,277.2586206896552,null
2009-10-31,215.29787234042553,null
2009-11-01,215.33333333333334,null
2009-11-02,215.25,null
2009-11-03,215.67391304347825,null
2009-11-04,215.4375,null
2009-11-05,287.2608695652174,null
2009-11-06,215.52,null
2009-11-07,215.67567567567568,null
2009-11-08,215.55072463768116,null
2009-11-09,215.66666666666666,null
2009-11-10,215.41095890410958,null
2009-11-11,318.5833333333333,null
2009-11-12,215.36363636363637,null
2009-11-13,241.01388888888889,null
2009-11-14,215.62025316455697,null
2009-11-15,215.57575757575756,null
2009-11-16,215.70833333333334,null
2009-11-17,215.6595744680851,null
2009-11-18,215.5679012345679,null
2009-11-19,215.36111111111111,null
2009-11-20,355.35,null
2009-11-21,215.67948717948718,null
2009-11-22,215.68316831683168,null
2009-11-23,215.89361702127658,null
2009-11-24,215.63725490196077,null
2009-11-25,215.632183908046,null
2009-11-26,215.53164556962025,null
2009-11-27,215.5,null
2009-11-28,215.49367088607596,null
2009-11-29,215.64285714285714,null
2009-11-30,215.73333333333332,null
2009-12-01,215.84848484848484,null
2009-12-02,417.29896907216494,null
2009-12-03,215.7948717948718,null
2009-12-04,215.64406779661016,null
2009-12-05,215.24528301886792,null
2009-12-06,242.59183673469389,null
2009-12-07,215.6421052631579,null
2009-12-08,245.4406779661017,null
2009-12-09,256.20212765957444,null
2009-12-10,223.1980198019802,null
2009-12-11,215.37692307692308,null
2009-12-12,295.2040816326531,null
2009-12-13,215.58252427184465,null
2009-12-14,577.8095238095239,null
2009-12-15,226.55084745762713,null
2009-12-16,235.34782608695653,null
