Time,LTC average daily block size,Price
2013-05-21,0.00621632,3.19326329
2013-05-22,0.00523402,3.09191275
2013-05-23,0.00509915,3.11852193
2013-05-24,0.00493467,3.17013001
2013-05-25,0.00488738,3.18774509
2013-05-26,0.00485576,3.12410855
2013-05-27,0.00542444,3.23070002
2013-05-28,0.00516962,3.10280037
2013-05-29,0.00523231,3.09212899
2013-05-30,0.00479214,3.07745743
2013-05-31,0.00484859,2.97139311
2013-06-01,0.00481524,2.94213581
2013-06-02,0.00418211,2.82779098
2013-06-03,0.00443978,2.73052502
2013-06-04,0.00499399,2.70330501
2013-06-05,0.00572469,2.8674674
2013-06-06,0.00443311,2.87684035
2013-06-07,0.00488031,2.7791369
2013-06-08,0.00430437,2.60405993
2013-06-09,0.00519117,2.55273461
2013-06-10,0.00598231,2.38438463
2013-06-11,0.00569072,2.49284434
2013-06-12,0.00370834,2.41216993
2013-06-13,0.00445031,2.39850903
2013-06-14,0.00400826,2.26920676
2013-06-15,0.00474664,2.1389997
2013-06-16,0.00420030,2.08581996
2013-06-17,0.00430711,2.13885903
2013-06-18,0.00401971,2.28164101
2013-06-19,0.00348716,2.30478644
2013-06-20,0.00339548,2.29816866
2013-06-21,0.00444851,2.32596111
2013-06-22,0.00875228,2.86342502
2013-06-23,0.00606756,2.89759588
2013-06-24,0.00515530,3.13449526
2013-06-25,0.00438628,2.84831095
2013-06-26,0.00666654,2.80642462
2013-06-27,0.00464937,2.88080001
2013-06-28,0.00624026,3.03684282
2013-06-29,0.00416293,2.76123214
2013-06-30,0.00484184,2.78822064
2013-07-01,0.00685972,3.00915861
2013-07-02,0.00550695,2.94967508
2013-07-03,0.00537189,2.84685397
2013-07-04,0.00582557,2.67515993
2013-07-05,0.00485576,2.7068615
2013-07-06,0.00620277,2.42302251
2013-07-07,0.00412212,2.45777678
2013-07-08,0.00456567,2.71115971
2013-07-09,0.00412160,2.5847609
2013-07-10,0.00440365,2.60924721
2013-07-11,0.00482067,2.83712006
2013-07-12,0.00656872,2.72275782
2013-07-13,0.00447243,2.80747962
2013-07-14,0.00479994,2.92842889
2013-07-15,0.00404532,2.87367344
2013-07-16,0.00480713,2.9993422
2013-07-17,0.00435846,3.07634521
2013-07-18,0.00464324,3.14510536
2013-07-19,0.00404522,2.88130379
2013-07-20,0.00459268,2.96239996
2013-07-21,0.00352234,2.87428427
2013-07-22,0.00498474,2.94577599
2013-07-23,0.00416779,2.8872323
2013-07-24,0.00380758,2.9881146
2013-07-25,0.00430391,2.94855642
2013-07-26,0.00349039,2.98315144
2013-07-27,0.00308312,2.89692783
2013-07-28,0.00302870,2.88486409
2013-07-29,0.00408905,2.94328332
2013-07-30,0.00455898,2.97261262
2013-07-31,0.00519685,3.0010097
2013-08-01,0.00464393,2.87411332
2013-08-02,0.00360671,2.94225001
2013-08-03,0.00402730,2.84242773
2013-08-04,0.00431429,3.01101542
2013-08-05,0.00369861,2.99907351
2013-08-06,0.00492643,2.84408832
2013-08-07,0.00515891,2.82161355
2013-08-08,0.00409746,2.75361848
2013-08-09,0.00435720,2.71074104
2013-08-10,0.00456217,2.68513608
2013-08-11,0.00516670,2.55130982
2013-08-12,0.00342397,2.69429994
2013-08-13,0.00421969,2.65549135
2013-08-14,0.00374870,2.75969052
2013-08-15,0.00544724,2.7352581
2013-08-16,0.00390686,2.76197362
2013-08-17,0.00311977,2.71722984
2013-08-18,0.00354779,2.80070996
2013-08-19,0.00474322,2.80048609
2013-08-20,0.00491111,2.82386994
2013-08-21,0.00360018,2.77449799
2013-08-22,0.00312256,2.69410539
2013-08-23,0.00367914,2.78159809
2013-08-24,0.00344604,2.73876691
2013-08-25,0.00435713,2.67909718
2013-08-26,0.00598198,2.57654262
2013-08-27,0.00570895,2.56829739
2013-08-28,0.00489001,2.57513285
2013-08-29,0.00321961,2.53700781
2013-08-30,0.00334337,2.53509212
2013-08-31,0.00373963,2.6564765
2013-09-01,0.00271805,2.59063387
2013-09-02,0.00436940,2.57158661
2013-09-03,0.00378197,2.55353642
2013-09-04,0.00489171,2.59953117
2013-09-05,0.00567891,2.81660724
2013-09-06,0.00282811,2.78025031
2013-09-07,0.00315558,2.68096948
2013-09-08,0.00309097,2.70479274
2013-09-09,0.00345246,2.7321012
2013-09-10,0.00328473,2.73121428
2013-09-11,0.00284144,2.64369011
2013-09-12,0.00300869,2.74895406
2013-09-13,0.00289415,2.68980742
2013-09-14,0.00254597,2.66239715
2013-09-15,0.00250062,2.58541203
2013-09-16,0.00283857,2.64729786
2013-09-17,0.00276858,2.6304841
2013-09-18,0.00306171,2.60258961
2013-09-19,0.00283707,2.54857802
2013-09-20,0.00353859,2.60956407
2013-09-21,0.00240222,2.4793334
2013-09-22,0.00281411,2.52543259
2013-09-23,0.00325790,2.52671814
2013-09-24,0.00373666,2.47184038
2013-09-25,0.00283114,2.46989822
2013-09-26,0.00268155,2.36675668
2013-09-27,0.00293106,2.4021523
2013-09-28,0.00325963,2.39180756
2013-09-29,0.00384241,2.26631999
2013-09-30,0.00315213,2.29863405
2013-10-01,0.00286211,2.34312868
2013-10-02,0.00348956,2.42047644
2013-10-03,0.00513846,1.97769594
2013-10-04,0.00331867,2.17695236
2013-10-05,0.00374870,2.19185519
2013-10-06,0.00405834,2.13334322
2013-10-07,0.00322300,2.17442393
2013-10-08,0.00333430,2.09501219
2013-10-09,0.00404887,1.98087895
2013-10-10,0.00606175,1.93130255
2013-10-11,0.00436573,2.02531743
2013-10-12,0.00375462,2.0682199
2013-10-13,0.00241306,2.12248302
2013-10-14,0.00345959,2.14893603
2013-10-15,0.00338926,2.05524206
2013-10-16,0.00636871,1.97210097
2013-10-17,0.00392650,1.91683865
2013-10-18,0.00392167,1.91598332
2013-10-19,0.00650767,1.90522015
2013-10-20,0.00413287,1.86937737
2013-10-21,0.00541235,1.93154001
2013-10-22,0.00675219,1.82102048
2013-10-23,0.00504424,1.69963443
2013-10-24,0.00506341,2.0573101
2013-10-25,0.00434435,2.29320407
2013-10-26,0.00281872,2.16129851
2013-10-27,0.00254703,2.20396805
2013-10-28,0.00261583,2.12691641
2013-10-29,0.00311869,2.17213702
2013-10-30,0.00347013,2.12974381
2013-10-31,0.00365402,2.27834201
2013-11-01,0.00377176,2.34485006
2013-11-02,0.00396916,2.4594295
2013-11-03,0.00991217,2.71700811
2013-11-04,0.00734787,2.9000566
2013-11-05,0.00630468,3.08287454
2013-11-06,0.00545337,3.04261541
2013-11-07,0.01548343,3.35997128
2013-11-08,0.01297596,4.37839508
2013-11-09,0.00898866,4.60807371
2013-11-10,0.00624577,4.3358326
2013-11-11,0.00740695,3.91142821
2013-11-12,0.00780821,4.01380205
2013-11-13,0.01263658,4.01759624
2013-11-14,0.00936479,4.10880518
2013-11-15,0.00783632,4.27378798
