Time,LTC number of daily transactions on the chain,Price
2013-09-01,4457,2.59063387
2013-09-02,4056,2.57158661
2013-09-03,3582,2.55353642
2013-09-04,3985,2.59953117
2013-09-05,4764,2.81660724
2013-09-06,4663,2.78025031
2013-09-07,4867,2.68096948
2013-09-08,4338,2.70479274
2013-09-09,3516,2.7321012
2013-09-10,3142,2.73121428
2013-09-11,2872,2.64369011
2013-09-12,3260,2.74895406
2013-09-13,3167,2.68980742
2013-09-14,3510,2.66239715
2013-09-15,3443,2.58541203
2013-09-16,3375,2.64729786
2013-09-17,3379,2.6304841
2013-09-18,3177,2.60258961
2013-09-19,3285,2.54857802
2013-09-20,3120,2.60956407
2013-09-21,2925,2.4793334
2013-09-22,2963,2.52543259
2013-09-23,3856,2.52671814
2013-09-24,3709,2.47184038
2013-09-25,3558,2.46989822
2013-09-26,3600,2.36675668
2013-09-27,3192,2.4021523
2013-09-28,3541,2.39180756
2013-09-29,3780,2.26631999
2013-09-30,3261,2.29863405
2013-10-01,3454,2.34312868
2013-10-02,3633,2.42047644
2013-10-03,4513,1.97769594
2013-10-04,3939,2.17695236
2013-10-05,3806,2.19185519
2013-10-06,4710,2.13334322
2013-10-07,3575,2.17442393
2013-10-08,3720,2.09501219
2013-10-09,3674,1.98087895
2013-10-10,3885,1.93130255
2013-10-11,4315,2.02531743
2013-10-12,3090,2.0682199
2013-10-13,3208,2.12248302
2013-10-14,3589,2.14893603
2013-10-15,3499,2.05524206
2013-10-16,4174,1.97210097
2013-10-17,2896,1.91683865
2013-10-18,3285,1.91598332
2013-10-19,3593,1.90522015
2013-10-20,3236,1.86937737
2013-10-21,3339,1.93154001
2013-10-22,3701,1.82102048
2013-10-23,3088,1.69963443
2013-10-24,4155,2.0573101
2013-10-25,4427,2.29320407
2013-10-26,3392,2.16129851
2013-10-27,3426,2.20396805
2013-10-28,3399,2.12691641
2013-10-29,3089,2.17213702
2013-10-30,3143,2.12974381
2013-10-31,3346,2.27834201
2013-11-01,4408,2.34485006
2013-11-02,3876,2.4594295
2013-11-03,5583,2.71700811
2013-11-04,6600,2.9000566
2013-11-05,5341,3.08287454
2013-11-06,5048,3.04261541
2013-11-07,7501,3.35997128
2013-11-08,7225,4.37839508
2013-11-09,8223,4.60807371
2013-11-10,5906,4.3358326
2013-11-11,5076,3.91142821
2013-11-12,4861,4.01380205
2013-11-13,5320,4.01759624
2013-11-14,5972,4.10880518
2013-11-15,7069,4.27378798
2013-11-16,6651,4.19366407
2013-11-17,7393,4.33022738
2013-11-18,9135,4.12657976
2013-11-19,13963,9.42268753
2013-11-20,8766,7.96456432
